sentence_id,FFD_avg,FFD_sum,GD_avg,GD_sum,GPT_avg,GPT_sum,TRT_avg,TRT_sum,nFix_avg,nFix_sum,reading_order_avg
22,103.54,1656.68,121.9,1950.46,287.53,4600.47,207.81,3324.96,1.89,30.19,7.5
23,107.2,1929.61,118.54,2133.72,200.88,3615.87,164.42,2959.57,1.49,26.74,8.5
24,104.1,3539.49,118.28,4021.58,190.01,6460.47,156.76,5329.79,1.48,50.49,16.5
25,107.57,1721.12,121.21,1939.42,271.0,4336.02,202.18,3234.84,1.77,28.36,7.5
26,115.98,1971.64,137.73,2341.44,266.48,4530.2,204.02,3468.39,1.63,27.76,8.0
27,114.2,2398.12,129.52,2719.89,239.06,5020.18,183.75,3858.66,1.64,34.43,10.0
28,111.94,5932.66,124.6,6603.7,222.77,11806.57,176.38,9348.09,1.6,84.88,26.0
29,119.94,2039.04,135.44,2302.44,286.18,4865.0,230.61,3920.37,2.01,34.1,8.0
30,120.61,1809.15,141.13,2116.92,232.35,3485.24,196.73,2951.01,1.6,24.05,7.0
31,110.06,5612.83,126.63,6458.06,222.1,11327.29,191.53,9768.03,1.75,89.02,25.0
32,111.06,2110.16,127.33,2419.35,251.55,4779.44,194.48,3695.11,1.68,31.85,9.0
33,112.09,3026.41,132.91,3588.47,295.53,7979.18,235.06,6346.71,2.1,56.83,13.0
34,116.61,1632.51,127.84,1789.81,209.23,2929.24,186.88,2616.28,1.51,21.12,6.5
35,120.44,963.55,157.26,1258.08,294.88,2359.06,218.83,1750.65,1.62,12.98,3.5
36,119.22,1788.32,135.07,2026.1,241.25,3618.81,190.25,2853.69,1.58,23.75,7.0
37,117.59,1763.83,141.92,2128.77,284.13,4262.0,208.7,3130.56,1.74,26.12,7.0
38,105.98,3285.26,126.14,3910.2,240.01,7440.24,180.83,5605.66,1.66,51.45,15.0
39,124.07,1240.74,139.77,1397.69,385.28,3852.78,242.15,2421.53,1.89,18.93,4.5
40,111.14,1889.35,121.95,2073.12,192.05,3264.78,172.22,2927.77,1.49,25.25,8.0
41,120.56,3013.92,135.43,3385.85,228.09,5702.28,193.25,4831.35,1.66,41.38,12.0
42,114.04,1824.7,139.05,2224.77,227.12,3633.96,189.28,3028.55,1.6,25.62,7.5
43,141.97,1135.78,156.3,1250.44,272.33,2178.67,200.9,1607.24,1.41,11.28,3.5
44,103.81,2387.61,117.76,2708.42,281.14,6466.19,196.17,4511.88,1.86,42.74,11.0
45,113.72,3070.33,137.58,3714.6,207.91,5613.48,175.83,4747.44,1.57,42.29,13.0
46,110.25,2204.92,125.95,2518.94,195.13,3902.57,165.25,3305.09,1.46,29.11,9.5
47,117.37,3169.02,137.11,3701.99,252.28,6811.68,204.6,5524.19,1.72,46.57,13.81
48,111.06,2221.14,132.39,2647.78,211.53,4230.68,180.88,3617.58,1.63,32.6,9.5
49,124.64,3240.67,148.11,3850.75,262.12,6815.22,219.84,5715.88,1.72,44.71,12.5
50,113.61,3067.35,132.52,3577.92,242.51,6547.89,190.44,5141.87,1.62,43.8,13.0
51,117.14,2225.64,142.82,2713.6,243.66,4629.53,210.64,4002.11,1.78,33.8,9.0
52,117.86,1650.03,160.05,2240.67,342.06,4788.89,246.04,3444.56,1.92,26.9,6.5
53,121.92,1097.26,149.06,1341.52,219.44,1974.92,182.58,1643.18,1.49,13.41,5.0
54,114.26,3313.51,135.28,3923.15,207.51,6017.78,178.96,5189.85,1.53,44.43,15.21
55,111.58,5020.97,124.45,5600.31,212.75,9573.89,171.06,7697.83,1.54,69.12,22.0
56,119.46,2986.57,140.15,3503.68,235.07,5876.75,197.75,4943.71,1.65,41.37,12.0
57,116.47,1863.45,128.38,2054.01,200.06,3201.0,153.58,2457.22,1.32,21.04,7.5
58,112.26,1122.64,132.48,1324.79,178.19,1781.91,159.86,1598.56,1.32,13.23,4.5
59,107.17,964.54,120.42,1083.82,283.84,2554.54,215.6,1940.44,1.82,16.34,4.0
60,119.64,2033.91,138.11,2347.88,271.52,4615.82,225.07,3826.11,1.83,31.04,8.0
61,116.58,2564.77,132.16,2907.44,195.59,4302.98,172.6,3797.2,1.47,32.27,10.5
62,139.59,1256.32,156.97,1412.69,243.1,2187.94,189.48,1705.35,1.35,12.15,4.0
63,121.6,1580.8,145.0,1885.05,253.97,3301.61,210.49,2736.39,1.73,22.45,6.0
64,122.02,1098.17,173.41,1560.66,348.66,3137.96,224.58,2021.26,1.72,15.44,4.0
65,116.24,1976.04,142.73,2426.42,222.46,3781.87,202.02,3434.4,1.73,29.38,8.0
66,117.79,1413.48,154.86,1858.32,250.05,3000.56,203.75,2445.04,1.64,19.73,5.5
67,118.43,2131.76,138.23,2488.19,186.75,3361.42,173.17,3117.05,1.48,26.58,8.5
68,117.04,936.35,136.46,1091.67,256.44,2051.51,198.95,1591.63,1.54,12.34,3.5
69,111.27,3115.61,136.31,3816.76,190.86,5344.05,177.01,4956.14,1.58,44.15,13.5
70,114.67,2522.8,129.45,2847.84,221.55,4874.06,180.24,3965.3,1.56,34.24,10.5
71,163.15,1468.31,190.33,1713.0,241.14,2170.24,208.43,1875.84,1.35,12.14,4.0
72,118.83,1663.64,136.41,1909.8,273.81,3833.32,216.75,3034.55,1.83,25.61,7.07
73,115.29,1498.81,131.37,1707.81,248.7,3233.05,200.27,2603.57,1.62,21.06,6.0
74,113.33,2606.66,137.13,3154.04,215.18,4949.12,178.61,4108.02,1.56,35.85,11.0
75,161.07,1288.59,180.66,1445.3,413.74,3309.92,302.98,2423.85,1.89,15.14,3.5
76,115.89,1390.72,132.33,1587.91,185.88,2230.51,169.02,2028.27,1.43,17.13,5.5
77,164.43,1151.02,188.56,1319.94,346.06,2422.44,317.72,2224.06,1.96,13.73,3.0
78,113.95,2620.8,126.98,2920.49,191.5,4404.48,159.34,3664.71,1.41,32.38,11.0
79,134.05,670.27,165.09,825.45,361.96,1809.81,285.39,1426.95,2.02,10.11,2.0
80,112.28,2245.59,136.22,2724.44,214.52,4290.37,183.96,3679.27,1.59,31.85,9.5
81,116.84,2453.61,134.49,2824.24,269.08,5650.76,196.0,4116.1,1.65,34.73,10.0
82,114.73,1376.74,138.46,1661.58,187.28,2247.39,171.77,2061.27,1.41,16.96,5.5
83,116.47,2911.72,135.16,3378.98,201.53,5038.26,179.22,4480.5,1.55,38.67,12.0
84,111.95,2686.82,123.45,2962.84,161.21,3868.96,146.41,3513.9,1.32,31.77,11.5
85,114.52,801.67,135.43,948.03,230.11,1610.79,209.1,1463.72,1.61,11.27,3.0
86,119.88,1558.48,139.19,1809.53,286.1,3719.33,229.07,2977.95,1.88,24.5,6.0
87,113.97,2051.41,125.08,2251.47,170.88,3075.78,169.02,3042.34,1.48,26.64,8.5
88,106.61,2238.85,124.67,2617.97,241.67,5075.09,195.08,4096.65,1.77,37.09,10.1
89,110.84,3325.07,137.79,4133.65,213.02,6390.6,181.97,5459.05,1.55,46.56,14.5
90,113.36,2493.86,124.44,2737.75,166.47,3662.42,155.8,3427.52,1.36,29.94,10.5
91,108.63,3367.64,120.88,3747.25,211.06,6542.79,170.81,5295.23,1.58,49.02,15.0
92,105.76,1374.87,118.56,1541.24,199.43,2592.54,156.02,2028.21,1.39,18.09,6.0
93,110.11,2752.74,122.07,3051.63,148.52,3712.95,132.23,3305.79,1.19,29.72,12.0
94,119.27,2146.78,136.2,2451.56,204.17,3675.13,176.11,3170.02,1.52,27.4,8.5
95,117.22,1992.71,124.26,2112.38,193.53,3290.05,156.99,2668.84,1.34,22.81,8.0
96,120.72,1931.55,151.55,2424.85,276.3,4420.79,217.03,3472.5,1.75,27.96,8.12
97,113.46,1248.02,132.71,1459.86,216.49,2381.42,199.47,2194.19,1.57,17.29,5.0
98,107.97,1619.55,128.8,1931.96,206.29,3094.41,174.81,2622.2,1.51,22.72,7.0
99,118.84,2376.73,134.97,2699.34,238.92,4778.43,210.65,4213.02,1.84,36.7,9.5
100,113.14,1357.63,131.92,1583.08,241.85,2902.2,203.2,2438.45,1.77,21.19,5.5
101,119.46,1433.52,138.67,1663.99,187.37,2248.41,174.52,2094.24,1.44,17.23,5.5
102,117.45,3640.86,136.25,4223.8,209.92,6507.58,179.51,5564.66,1.54,47.81,16.0
103,111.11,1777.73,123.69,1979.11,202.51,3240.19,166.38,2662.0,1.44,23.12,7.5
104,119.15,2382.93,134.43,2688.54,206.3,4125.97,165.03,3300.63,1.35,26.93,9.5
105,131.51,1709.59,162.31,2110.09,293.56,3816.34,243.76,3168.93,1.83,23.78,6.0
106,118.35,2012.01,134.95,2294.2,201.35,3422.96,181.91,3092.52,1.51,25.71,8.0
107,119.39,1910.17,131.95,2111.13,221.42,3542.73,162.89,2606.19,1.39,22.31,7.5
108,113.76,796.3,144.63,1012.41,251.25,1758.75,213.08,1491.53,1.74,12.21,3.0
109,116.98,1754.75,150.81,2262.17,231.31,3469.71,197.82,2967.32,1.63,24.47,7.0
110,119.17,1549.26,142.48,1852.21,238.57,3101.38,210.77,2740.01,1.71,22.21,6.0
111,119.18,1310.94,135.88,1494.68,224.7,2471.67,198.65,2185.19,1.59,17.54,5.0
112,119.28,1669.88,130.62,1828.64,234.32,3280.43,199.41,2791.72,1.6,22.47,6.5
113,116.11,1393.33,132.01,1584.07,221.21,2654.48,175.26,2103.12,1.48,17.71,5.5
114,118.94,4638.73,131.74,5137.94,211.29,8240.26,173.83,6779.53,1.49,58.09,19.0
115,112.87,1805.99,125.72,2011.46,207.94,3326.97,176.86,2829.69,1.53,24.41,7.5
116,110.86,2771.53,115.71,2892.71,205.01,5125.32,169.52,4238.06,1.49,37.28,12.0
117,121.98,3415.53,139.98,3919.34,230.97,6467.04,203.51,5698.38,1.65,46.3,13.5
118,128.21,897.44,134.39,940.72,226.35,1584.44,190.13,1330.92,1.38,9.69,3.0
119,115.69,2082.41,134.47,2420.5,266.06,4789.15,186.07,3349.27,1.56,28.15,8.5
120,128.66,1543.93,142.18,1706.19,210.25,2522.96,183.19,2198.32,1.37,16.47,5.5
121,119.2,2383.92,129.52,2590.35,207.9,4158.07,165.21,3304.14,1.39,27.84,9.5
122,120.62,1326.85,125.86,1384.42,152.48,1677.25,142.73,1570.0,1.18,12.93,5.0
123,112.34,1123.41,149.41,1494.11,221.85,2218.53,205.98,2059.8,1.8,18.01,4.5
124,116.29,2442.09,129.31,2715.46,162.63,3415.31,153.39,3221.12,1.31,27.6,10.0
125,116.91,1987.46,141.07,2398.15,183.94,3127.05,165.02,2805.3,1.41,23.95,8.0
126,122.74,1718.36,141.74,1984.31,264.02,3696.32,187.53,2625.42,1.46,20.51,6.5
127,128.39,1283.9,152.82,1528.18,191.64,1916.36,187.78,1877.77,1.46,14.57,4.5
128,119.34,3460.86,134.07,3887.94,216.43,6276.37,175.21,5081.14,1.45,42.15,14.0
129,112.01,2128.12,121.68,2311.88,171.56,3259.62,150.44,2858.31,1.35,25.68,9.0
130,121.24,2061.03,136.99,2328.79,186.94,3177.92,158.09,2687.55,1.29,21.95,8.0
131,118.96,1070.62,131.65,1184.86,236.71,2130.42,188.31,1694.8,1.55,13.97,4.0
132,125.41,1881.09,140.35,2105.18,220.16,3302.4,182.19,2732.91,1.43,21.47,7.0
133,116.93,2572.47,130.55,2872.06,198.65,4370.33,162.9,3583.88,1.39,30.64,10.5
134,109.24,3168.07,121.17,3513.93,181.52,5264.04,159.6,4628.44,1.44,41.63,14.0
135,113.59,1590.29,133.64,1870.89,247.2,3460.83,189.78,2656.88,1.63,22.87,6.93
136,116.73,2334.64,126.56,2531.16,211.14,4222.81,168.27,3365.33,1.42,28.31,9.5
137,114.14,1141.39,131.76,1317.6,215.42,2154.15,179.64,1796.38,1.44,14.45,4.5
138,110.59,2211.85,126.07,2521.34,167.67,3353.33,159.72,3194.48,1.38,27.51,9.5
139,106.2,1274.43,120.63,1447.51,194.7,2336.4,155.67,1868.0,1.37,16.49,6.5
140,116.01,1508.15,133.62,1737.02,169.44,2202.67,156.47,2034.15,1.31,16.99,6.0
141,111.54,2565.34,123.12,2831.68,148.79,3422.24,140.02,3220.54,1.26,29.0,11.0
142,112.41,2360.62,128.47,2697.85,149.48,3139.12,141.33,2967.94,1.23,25.8,10.0
143,106.38,2659.41,114.88,2871.98,160.26,4006.38,133.18,3329.53,1.24,31.05,12.0
144,115.14,1611.95,127.46,1784.48,197.89,2770.51,160.01,2240.16,1.34,18.77,6.5
145,122.75,1473.02,136.47,1637.6,221.72,2660.69,186.2,2234.36,1.47,17.62,5.5
146,111.78,2794.41,122.58,3064.49,216.74,5418.43,175.05,4376.35,1.59,39.63,12.0
147,108.37,2492.49,119.53,2749.19,157.5,3622.56,143.65,3304.05,1.3,29.84,11.0
148,110.02,2200.33,123.9,2477.98,168.39,3367.8,143.89,2877.86,1.31,26.14,9.5
149,115.12,2532.74,131.99,2903.87,215.42,4739.25,174.24,3833.36,1.52,33.38,10.5
150,107.89,539.45,131.41,657.03,291.53,1457.65,214.88,1074.41,1.8,8.98,2.0
151,109.9,3187.04,120.67,3499.44,206.58,5990.91,161.31,4677.97,1.45,42.16,14.0
152,123.77,1485.27,140.52,1686.26,189.76,2277.09,167.49,2009.93,1.31,15.69,5.5
153,109.33,3170.47,118.17,3426.88,188.28,5460.23,150.53,4365.44,1.38,40.13,14.0
154,128.17,897.16,143.51,1004.56,276.59,1936.16,208.37,1458.6,1.6,11.2,3.0
155,125.69,1759.64,133.13,1863.88,242.55,3395.67,180.35,2524.87,1.4,19.56,6.5
156,118.77,1544.05,129.85,1688.11,197.86,2572.14,159.41,2072.36,1.33,17.25,6.0
157,117.12,2576.57,136.25,2997.45,194.92,4288.22,167.14,3677.1,1.43,31.39,10.5
158,118.6,1304.55,129.44,1423.8,215.23,2367.51,172.16,1893.73,1.47,16.21,5.0
159,111.71,3016.15,122.65,3311.58,160.39,4330.53,140.64,3797.41,1.25,33.69,13.0
160,109.72,1536.05,116.02,1624.29,169.2,2368.77,129.97,1819.55,1.15,16.13,6.5
161,114.89,2412.79,123.13,2585.71,170.35,3577.41,142.8,2998.73,1.26,26.54,10.0
162,114.2,2055.68,118.27,2128.93,171.73,3091.08,147.78,2660.12,1.27,22.95,8.5
163,132.37,794.2,159.46,956.78,222.68,1336.09,191.92,1151.51,1.4,8.41,2.5
164,115.56,1271.12,126.81,1394.92,178.89,1967.75,157.28,1730.1,1.3,14.25,5.0
165,112.91,4855.28,124.94,5372.35,188.99,8126.53,164.71,7082.44,1.37,58.71,21.0
166,113.95,1709.32,126.55,1898.26,188.53,2827.89,152.84,2292.58,1.31,19.7,7.6
167,112.11,3475.35,125.79,3899.6,168.6,5226.62,153.27,4751.3,1.34,41.48,15.0
168,117.08,3512.55,134.67,4040.06,186.06,5581.93,163.05,4891.35,1.39,41.74,14.5
169,111.29,3338.77,125.7,3770.91,181.84,5455.2,151.28,4538.26,1.35,40.61,14.5
170,110.39,2759.76,122.72,3067.92,164.6,4114.89,141.94,3548.46,1.28,31.95,12.0
171,116.86,2570.94,126.96,2793.21,206.97,4553.24,169.49,3728.76,1.44,31.7,10.5
172,106.25,3293.67,118.87,3684.93,170.88,5297.38,145.78,4519.16,1.35,41.77,15.0
173,112.44,2698.62,126.81,3043.5,201.74,4841.87,163.77,3930.39,1.33,32.01,11.5
174,109.27,3168.84,122.08,3540.24,167.9,4868.99,147.31,4272.08,1.31,38.11,14.0
175,111.59,3236.24,121.26,3516.44,234.75,6807.86,158.62,4599.94,1.41,40.84,14.0
176,168.28,1009.65,177.13,1062.76,217.5,1305.01,187.68,1126.1,1.15,6.89,2.5
177,150.16,900.96,172.26,1033.55,357.32,2143.95,311.95,1871.72,2.1,12.59,2.5
178,117.27,2697.27,136.0,3128.07,197.28,4537.34,172.19,3960.34,1.44,33.14,11.78
179,110.78,1329.34,125.27,1503.29,230.49,2765.9,163.45,1961.35,1.46,17.46,5.5
180,120.04,2520.85,128.24,2692.99,172.89,3630.63,146.26,3071.42,1.24,25.94,10.0
181,117.38,2230.14,132.0,2507.93,187.76,3567.45,155.51,2954.65,1.32,25.12,9.0
182,108.97,2288.39,120.15,2523.1,281.71,5915.96,193.24,4058.1,1.73,36.43,10.0
183,111.96,2463.03,123.52,2717.54,194.95,4288.91,163.92,3606.25,1.44,31.69,10.5
184,119.91,1678.8,133.84,1873.75,201.01,2814.15,164.89,2308.47,1.34,18.74,6.5
185,108.54,1411.0,117.78,1531.2,159.75,2076.79,148.68,1932.89,1.34,17.39,6.0
186,105.73,4229.17,117.09,4683.48,172.69,6907.51,143.26,5730.43,1.3,52.11,19.5
187,115.56,1271.2,127.4,1401.39,188.21,2070.34,166.98,1836.78,1.42,15.65,5.0
188,106.31,1063.1,115.19,1151.88,153.07,1530.7,140.85,1408.48,1.28,12.78,4.5
189,101.67,2440.17,113.79,2730.93,142.14,3411.26,130.2,3124.76,1.24,29.81,11.5
190,112.34,2696.25,126.22,3029.31,183.36,4400.74,150.84,3620.04,1.34,32.15,11.5
191,119.61,1794.21,127.48,1912.15,160.27,2404.0,143.78,2156.7,1.2,18.02,7.0
192,107.99,2591.74,118.21,2836.96,168.1,4034.29,143.86,3452.74,1.31,31.42,11.5
193,112.99,1242.88,127.22,1399.4,208.7,2295.69,155.68,1712.44,1.35,14.9,5.0
194,121.87,1584.26,140.96,1832.42,218.41,2839.3,198.64,2582.34,1.56,20.32,6.31
195,109.35,2405.68,121.62,2675.55,179.55,3950.17,155.55,3422.12,1.41,31.1,10.5
196,110.27,1984.9,139.0,2502.0,226.44,4075.88,187.82,3380.75,1.6,28.76,8.5
197,113.01,1130.1,127.04,1270.39,208.81,2088.11,170.18,1701.85,1.34,13.41,4.5
198,118.0,2005.92,136.63,2322.65,214.36,3644.17,178.63,3036.7,1.47,24.93,8.0
199,116.1,2902.59,136.9,3422.6,207.81,5195.32,187.9,4697.47,1.61,40.21,12.0
200,107.74,1831.5,138.56,2355.59,171.21,2910.61,155.9,2650.35,1.4,23.76,8.0
201,108.56,3474.04,125.25,4008.08,194.01,6208.42,153.45,4910.48,1.39,44.45,15.5
202,106.6,959.42,116.06,1044.58,171.55,1543.91,146.45,1318.06,1.36,12.26,4.0
203,105.5,4009.09,114.77,4361.2,146.41,5563.7,132.27,5026.28,1.25,47.32,18.5
204,120.03,2040.45,135.05,2295.79,211.15,3589.57,172.94,2939.97,1.43,24.32,8.0
205,115.66,2313.15,131.43,2628.52,187.24,3744.86,162.18,3243.59,1.42,28.37,9.5
206,110.56,4201.24,126.98,4825.23,191.14,7263.46,159.08,6045.09,1.39,52.92,18.5
207,110.97,2108.35,131.1,2490.87,183.04,3477.85,154.8,2941.13,1.34,25.55,9.0
208,113.55,1930.41,131.86,2241.64,222.53,3783.05,170.86,2904.56,1.46,24.75,8.0
209,120.11,1561.42,130.34,1694.46,199.09,2588.15,171.79,2233.29,1.39,18.13,6.0
210,105.09,2101.8,119.65,2392.92,181.18,3623.58,151.59,3031.71,1.39,27.74,9.5
211,130.41,2216.94,150.65,2561.02,313.9,5336.23,244.69,4159.76,1.91,32.39,8.0
212,112.77,3495.94,123.12,3816.67,164.78,5108.28,151.82,4706.36,1.36,42.27,15.0
213,112.41,2360.51,124.14,2606.97,161.99,3401.81,149.57,3140.91,1.35,28.42,10.0
214,123.16,2586.26,144.69,3038.39,204.78,4300.35,167.0,3507.04,1.39,29.25,10.0
215,128.99,1547.83,135.91,1630.96,180.7,2168.39,171.49,2057.87,1.29,15.47,5.5
216,131.14,1704.8,135.23,1758.01,185.3,2408.9,149.4,1942.26,1.15,14.98,6.0
217,116.67,1866.77,144.52,2312.38,178.87,2861.88,159.59,2553.5,1.35,21.53,7.5
218,111.45,2563.3,123.89,2849.55,170.77,3927.75,154.66,3557.17,1.41,32.35,11.0
219,108.84,1197.19,113.24,1245.62,167.62,1843.85,138.29,1521.24,1.22,13.44,5.0
220,147.68,1329.15,164.44,1479.95,249.53,2245.75,196.86,1771.75,1.37,12.35,4.0
221,121.87,3290.37,130.72,3529.43,232.29,6271.73,181.2,4892.42,1.49,40.17,13.0
222,112.6,2815.03,121.42,3035.49,164.76,4118.94,142.07,3551.73,1.26,31.47,12.56
223,113.03,1808.41,130.65,2090.42,172.7,2763.26,150.94,2415.11,1.31,21.02,7.5
224,123.07,1846.08,139.92,2098.84,222.95,3344.26,172.0,2579.96,1.39,20.86,7.0
225,116.61,2682.03,129.75,2984.31,195.86,4504.82,160.4,3689.31,1.34,30.83,11.0
226,107.93,1510.99,120.66,1689.26,175.9,2462.57,152.25,2131.5,1.35,18.88,6.5
227,134.19,939.33,150.97,1056.8,232.63,1628.39,195.19,1366.31,1.42,9.95,3.0
228,113.69,2273.77,133.47,2669.37,197.47,3949.44,173.84,3476.72,1.55,31.0,9.5
229,114.23,1370.81,125.3,1503.61,188.26,2259.09,156.36,1876.28,1.35,16.19,5.5
230,113.18,1018.58,123.97,1115.75,152.58,1373.25,134.23,1208.07,1.17,10.51,4.0
231,143.64,718.19,150.52,752.59,277.65,1388.25,191.64,958.19,1.29,6.45,2.0
232,126.34,1389.71,145.69,1602.55,179.52,1974.74,165.86,1824.46,1.29,14.2,5.0
233,103.77,1971.65,113.04,2147.71,171.67,3261.75,135.84,2581.03,1.28,24.41,9.0
234,114.34,3430.25,130.5,3915.01,217.99,6539.65,170.38,5111.34,1.5,44.99,14.6
235,118.07,2243.41,142.22,2702.18,200.22,3804.12,181.49,3448.38,1.48,28.07,9.0
236,111.07,3221.15,132.09,3830.75,183.31,5315.97,159.82,4634.77,1.42,41.18,14.0
237,111.85,5592.74,124.28,6214.09,204.47,10223.54,161.57,8078.31,1.43,71.44,24.5
238,111.93,2910.23,120.11,3122.95,198.53,5161.73,154.1,4006.66,1.4,36.29,12.5
239,119.15,1787.2,131.98,1979.7,192.09,2881.37,171.62,2574.25,1.42,21.32,7.0
240,113.2,2716.74,127.79,3067.04,177.98,4271.63,159.88,3837.01,1.4,33.71,11.5
241,121.45,2064.63,145.41,2471.99,206.26,3506.36,196.58,3341.84,1.64,27.82,8.12
242,107.7,1400.07,114.1,1483.29,162.42,2111.41,132.34,1720.48,1.2,15.66,6.0
243,110.56,1658.39,121.36,1820.43,156.78,2351.69,136.49,2047.34,1.25,18.77,7.0
244,115.45,1500.89,127.45,1656.91,168.77,2193.97,146.43,1903.61,1.26,16.35,6.0
245,110.85,1995.27,123.63,2225.38,164.77,2965.94,143.16,2576.81,1.31,23.5,8.5
246,113.14,1810.29,119.76,1916.09,202.42,3238.72,161.08,2577.34,1.43,22.95,7.5
247,107.34,3327.4,118.72,3680.29,163.12,5056.75,135.39,4196.99,1.26,39.14,15.0
248,109.74,2963.04,118.11,3189.07,176.93,4777.0,141.69,3825.52,1.31,35.47,13.0
249,108.41,4228.12,122.52,4778.36,178.33,6954.7,152.05,5929.83,1.32,51.59,20.0
250,107.6,2044.37,120.0,2280.01,178.52,3391.88,148.95,2830.0,1.37,25.97,9.0
251,104.33,1669.29,126.37,2021.91,220.61,3529.83,166.16,2658.58,1.52,24.31,7.5
252,112.57,1463.47,124.5,1618.53,171.26,2226.33,152.12,1977.56,1.34,17.4,6.0
253,118.16,2008.69,138.59,2356.0,230.8,3923.66,194.39,3304.65,1.55,26.43,8.0
254,109.23,3604.55,130.49,4306.16,174.36,5753.87,154.55,5100.14,1.43,47.09,16.0
255,106.45,2128.98,119.72,2394.37,189.37,3787.45,144.34,2886.71,1.31,26.12,9.5
256,104.3,2294.56,121.84,2680.47,163.91,3605.93,144.49,3178.71,1.34,29.44,11.18
257,113.42,1814.7,128.14,2050.19,183.62,2937.93,170.19,2722.99,1.45,23.25,7.5
258,116.7,1867.25,125.42,2006.8,193.99,3103.89,160.9,2574.38,1.36,21.8,7.5
259,108.22,2164.31,120.63,2412.62,229.73,4594.58,172.66,3453.17,1.59,31.86,9.5
260,119.21,1907.32,140.52,2248.38,194.06,3104.9,181.71,2907.39,1.57,25.06,7.5
261,111.96,3806.61,120.6,4100.34,188.86,6421.18,160.83,5468.33,1.42,48.42,16.5
262,106.38,3297.71,114.95,3563.47,141.03,4372.0,127.15,3941.61,1.18,36.55,15.0
263,112.68,1239.52,128.14,1409.51,198.33,2181.64,169.3,1862.3,1.45,15.96,5.0
264,108.84,3156.42,123.68,3586.67,176.69,5123.92,154.24,4473.06,1.37,39.87,14.0
265,112.67,2366.11,127.51,2677.68,234.99,4934.85,173.59,3645.3,1.49,31.37,10.0
266,119.24,2146.29,130.33,2346.0,239.58,4312.44,201.28,3623.07,1.69,30.36,8.5
267,111.83,559.16,122.36,611.82,230.2,1150.99,158.42,792.12,1.3,6.49,2.0
268,111.49,1895.37,123.52,2099.82,168.16,2858.73,144.69,2459.78,1.27,21.55,8.0
269,113.86,2163.31,122.49,2327.35,156.4,2971.66,139.79,2656.01,1.25,23.74,9.0
270,111.3,1224.3,127.99,1407.86,221.46,2436.09,188.66,2075.27,1.62,17.79,5.0
271,114.12,1940.0,121.5,2065.58,167.21,2842.55,148.86,2530.64,1.36,23.04,8.0
272,112.6,2139.33,124.89,2372.82,183.27,3482.12,150.05,2850.99,1.32,25.12,9.0
273,112.27,1122.68,135.16,1351.63,190.57,1905.7,185.38,1853.84,1.57,15.66,4.5
274,126.05,2394.91,142.23,2702.43,202.03,3838.59,179.73,3414.78,1.39,26.37,9.0
275,125.02,1250.17,140.03,1400.27,205.47,2054.66,180.66,1806.58,1.39,13.94,4.5
276,110.28,1433.66,119.26,1550.4,165.03,2145.41,150.94,1962.16,1.35,17.61,6.0
