sentence_id,FFD_avg,GD_avg,GPT_avg,TRT_avg,TRT_sum,nFix_avg,nFix_sum,reading_order_avg,subject
313,126.67,137.33,188.83,188.83,1133.0,1.33,8.0,5.33,YAC
314,95.21,146.64,146.64,146.64,2053.0,1.43,20.0,11.29,YAC
315,95.75,100.7,114.3,103.9,2078.0,1.1,22.0,15.45,YAC
316,94.09,94.09,113.95,99.32,2185.0,1.05,23.0,17.14,YAC
317,98.59,105.5,127.27,119.73,2634.0,1.18,26.0,15.23,YAC
318,110.93,114.71,119.0,114.71,1606.0,1.07,15.0,13.14,YAC
319,106.75,111.67,144.92,138.92,1667.0,1.17,14.0,10.42,YAC
320,101.86,110.71,214.14,152.29,1066.0,1.29,9.0,5.0,YAC
321,105.33,109.13,141.53,116.0,1740.0,1.13,17.0,12.07,YAC
322,98.89,104.05,141.74,127.89,2430.0,1.21,23.0,14.11,YAC
323,323.0,323.0,323.0,323.0,969.0,1.0,3.0,3.67,YAC
324,108.64,108.64,188.82,150.09,1651.0,1.27,14.0,7.27,YAC
325,160.8,160.8,254.4,232.2,1161.0,1.4,7.0,3.8,YAC
326,108.67,125.58,231.92,133.92,1607.0,1.17,14.0,7.08,YAC
327,94.47,94.47,112.73,106.87,1603.0,1.13,17.0,12.8,YAC
328,89.53,95.53,98.94,95.53,1624.0,1.06,18.0,15.71,YAC
329,102.25,112.92,150.83,141.42,1697.0,1.25,15.0,8.42,YAC
330,96.63,96.63,169.47,96.63,1836.0,1.0,19.0,14.95,YAC
331,91.8,103.47,103.47,103.47,1552.0,1.13,17.0,15.0,YAC
332,118.1,133.4,133.4,133.4,1334.0,1.2,12.0,6.7,YAC
333,106.64,118.91,142.27,142.27,1565.0,1.18,13.0,10.18,YAC
334,111.4,121.8,160.93,155.87,2338.0,1.4,21.0,10.07,YAC
335,110.08,116.83,125.83,125.83,1510.0,1.17,14.0,11.0,YAC
336,106.06,118.19,171.75,147.69,2363.0,1.38,22.0,13.19,YAC
337,115.09,155.55,163.91,163.91,1803.0,1.27,14.0,6.64,YAC
338,117.08,117.08,144.5,144.5,1734.0,1.17,14.0,8.75,YAC
339,134.23,134.23,166.92,139.23,1810.0,1.08,14.0,9.54,YAC
340,88.3,96.0,123.61,113.39,2608.0,1.22,28.0,19.87,YAC
341,82.0,112.09,116.64,112.09,1233.0,1.09,12.0,10.82,YAC
342,108.17,126.0,153.33,126.0,1512.0,1.17,14.0,7.75,YAC
343,103.6,153.9,205.0,205.0,2050.0,1.7,17.0,10.5,YAC
344,147.5,161.67,161.67,161.67,970.0,1.17,7.0,7.33,YAC
345,108.62,108.62,108.62,108.62,1412.0,1.0,13.0,14.46,YAC
346,119.18,119.18,148.64,142.36,1566.0,1.09,12.0,9.55,YAC
347,114.38,114.38,151.46,121.54,1580.0,1.08,14.0,9.0,YAC
348,98.11,98.11,107.11,107.11,964.0,1.11,10.0,8.56,YAC
0,109.45,128.0,362.05,211.3,4226.0,2.05,41.0,11.9,YAG
1,97.06,110.76,387.94,298.71,5078.0,3.0,51.0,8.0,YAG
2,89.09,109.27,160.09,145.55,1601.0,1.45,16.0,7.64,YAG
3,110.54,123.19,367.96,301.35,7835.0,2.62,68.0,12.62,YAG
4,80.25,107.19,186.88,169.0,2704.0,1.94,31.0,10.75,YAG
5,103.58,136.81,453.23,440.68,13661.0,4.0,124.0,16.97,YAG
6,124.25,157.2,197.1,189.2,3784.0,1.65,33.0,12.25,YAG
7,102.45,143.45,459.14,437.93,12700.0,4.07,118.0,16.07,YAG
8,98.17,119.17,386.75,287.5,3450.0,2.67,32.0,6.17,YAG
9,93.81,113.56,120.06,120.06,1921.0,1.31,21.0,10.88,YAG
10,101.14,123.77,260.03,224.43,7855.0,2.17,76.0,19.97,YAG
11,101.07,133.46,332.11,220.79,6182.0,2.21,62.0,14.14,YAG
12,96.64,121.73,223.55,205.91,2265.0,1.82,20.0,5.0,YAG
13,89.94,102.29,233.71,228.0,3876.0,2.24,38.0,9.82,YAG
14,96.17,128.62,177.08,177.08,4250.0,1.71,41.0,17.04,YAG
15,92.89,101.77,377.4,282.89,9901.0,2.69,94.0,17.46,YAG
16,95.57,103.43,117.86,117.86,825.0,1.29,9.0,5.43,YAG
17,104.22,133.72,175.81,162.22,5840.0,1.53,55.0,23.14,YAG
18,99.73,107.4,156.8,145.33,2180.0,1.27,19.0,9.87,YAG
19,109.38,213.0,213.0,213.0,1704.0,1.38,11.0,5.75,YAG
20,109.2,118.27,148.4,142.4,2136.0,1.4,21.0,11.2,YAG
21,93.56,108.11,162.78,138.83,2499.0,1.56,28.0,13.5,YAG
22,88.67,95.33,364.92,278.25,3339.0,2.75,33.0,7.92,YAG
23,94.38,106.69,193.85,187.69,2440.0,2.08,27.0,8.62,YAG
24,100.56,131.96,145.96,142.48,3562.0,1.36,34.0,17.8,YAG
25,106.42,112.42,294.75,269.17,3230.0,2.75,33.0,6.92,YAG
26,92.15,126.15,222.54,197.92,2573.0,1.92,25.0,8.46,YAG
27,116.15,119.35,364.2,283.45,5669.0,2.5,50.0,9.7,YAG
28,94.22,116.6,205.98,195.58,8801.0,1.98,89.0,25.71,YAG
29,106.54,133.15,390.77,296.92,3860.0,2.92,38.0,8.31,YAG
30,95.42,121.83,284.33,169.58,2035.0,1.42,17.0,7.58,YAG
31,96.49,114.29,256.27,236.27,10632.0,2.29,103.0,25.98,YAG
32,105.82,119.76,367.35,262.29,4459.0,2.47,42.0,9.24,YAG
33,105.88,126.12,562.64,517.88,12947.0,5.08,127.0,12.2,YAG
34,95.42,100.42,211.08,171.58,2059.0,1.83,22.0,6.5,YAG
35,82.6,157.4,176.8,176.8,884.0,1.8,9.0,3.4,YAG
36,90.75,104.17,293.58,240.0,2880.0,2.08,25.0,7.5,YAG
37,123.17,134.58,321.67,312.17,3746.0,2.75,33.0,6.58,YAG
38,97.93,113.89,333.19,230.81,6232.0,2.22,60.0,15.33,YAG
39,103.62,146.88,270.88,185.38,1483.0,2.0,16.0,3.88,YAG
40,96.93,107.87,229.13,204.6,3069.0,1.93,29.0,7.67,YAG
41,96.0,133.89,149.06,140.83,2535.0,1.39,25.0,12.22,YAG
42,116.77,155.69,242.77,227.77,2961.0,2.23,29.0,7.69,YAG
43,82.67,112.33,171.17,139.5,837.0,1.5,9.0,3.5,YAG
44,85.76,101.57,369.0,239.43,5028.0,2.48,52.0,11.05,YAG
45,91.82,132.53,176.53,176.53,3001.0,1.71,29.0,12.88,YAG
46,108.2,123.27,191.67,129.07,1936.0,1.2,18.0,10.2,YAG
47,113.6,138.15,318.9,283.5,5670.0,2.45,49.0,14.8,YAG
48,93.75,135.0,256.81,243.62,3898.0,2.5,40.0,9.31,YAG
49,111.0,135.25,148.9,148.9,2978.0,1.3,26.0,12.95,YAG
50,121.45,165.95,232.09,206.05,4533.0,1.64,36.0,11.68,YAG
51,97.93,153.71,312.14,312.14,4370.0,2.64,37.0,8.43,YAG
52,129.17,168.67,428.5,389.08,4669.0,3.25,39.0,6.67,YAG
53,134.43,141.86,295.14,163.29,1143.0,1.43,10.0,5.57,YAG
54,107.38,129.04,258.35,247.31,6430.0,2.31,60.0,15.42,YAG
55,101.14,116.27,380.27,318.0,11766.0,2.92,108.0,22.05,YAG
56,96.05,118.86,212.0,172.19,3616.0,1.86,39.0,12.76,YAG
57,98.46,116.38,220.92,126.85,1649.0,1.23,16.0,7.46,YAG
58,118.0,205.8,205.8,205.8,1029.0,1.4,7.0,5.2,YAG
59,90.0,90.0,458.33,296.67,2670.0,2.78,25.0,4.0,YAG
60,96.71,131.57,358.43,269.21,3769.0,2.36,33.0,8.07,YAG
61,121.65,142.24,294.71,276.71,4704.0,2.18,37.0,11.65,YAG
62,152.0,164.67,164.67,164.67,988.0,1.17,7.0,4.0,YAG
63,130.36,136.91,203.64,180.09,1981.0,1.55,17.0,5.55,YAG
64,131.22,142.33,183.33,155.22,1397.0,1.22,11.0,4.0,YAG
65,118.43,146.93,376.0,332.64,4657.0,3.0,42.0,6.86,YAG
66,93.22,182.0,201.56,182.0,1638.0,1.67,15.0,6.22,YAG
67,92.46,118.38,118.38,118.38,1539.0,1.31,17.0,8.31,YAG
68,106.5,150.17,150.17,150.17,901.0,1.33,8.0,3.33,YAG
69,112.77,144.0,313.0,216.86,4771.0,2.0,44.0,12.86,YAG
70,142.33,149.83,175.39,168.22,3028.0,1.22,22.0,10.06,YAG
71,72.86,113.0,138.14,138.14,967.0,1.71,12.0,4.0,YAG
72,104.5,155.58,354.92,236.58,2839.0,2.0,24.0,7.08,YAG
73,115.5,120.25,234.92,184.92,2219.0,1.58,19.0,6.08,YAG
74,120.32,144.91,281.05,260.09,5722.0,2.27,50.0,10.82,YAG
75,123.17,142.5,278.0,251.83,1511.0,1.5,9.0,3.5,YAG
76,86.44,149.44,359.0,218.78,1969.0,2.11,19.0,5.89,YAG
77,194.0,194.0,302.8,302.8,1514.0,1.6,8.0,3.2,YAG
78,97.05,97.05,194.33,179.48,3769.0,1.81,38.0,11.24,YAG
79,129.25,129.25,419.0,337.75,1351.0,2.5,10.0,1.5,YAG
80,84.92,125.42,170.67,170.67,2048.0,1.67,20.0,10.92,YAG
81,119.15,164.85,173.54,164.85,2143.0,1.46,19.0,10.23,YAG
82,107.22,130.67,180.89,175.11,1576.0,1.56,14.0,5.67,YAG
83,106.86,128.95,208.52,196.48,4126.0,1.86,39.0,10.76,YAG
84,110.0,134.12,175.06,166.82,2836.0,1.65,28.0,11.88,YAG
85,125.6,166.0,177.2,166.0,830.0,1.2,6.0,2.8,YAG
86,101.9,149.2,401.3,253.1,2531.0,2.5,25.0,6.1,YAG
87,96.43,127.29,253.93,236.5,3311.0,2.64,37.0,8.79,YAG
88,90.39,118.44,436.83,314.39,5659.0,3.22,58.0,10.56,YAG
89,109.5,113.1,164.75,142.25,2845.0,1.4,28.0,14.25,YAG
90,102.58,116.79,169.37,165.89,3152.0,1.68,32.0,9.42,YAG
91,101.68,110.54,403.96,382.21,10702.0,3.75,105.0,14.61,YAG
92,98.2,98.2,116.1,106.5,1065.0,1.1,11.0,7.0,YAG
93,107.1,110.7,206.95,174.75,3495.0,1.6,32.0,12.1,YAG
94,116.71,116.71,262.79,245.21,3433.0,2.36,33.0,8.79,YAG
95,114.62,114.62,140.31,130.38,1695.0,1.08,14.0,7.23,YAG
96,106.0,106.0,389.06,249.19,3987.0,2.5,40.0,8.12,YAG
97,147.5,147.5,184.0,164.62,1317.0,1.25,10.0,5.0,YAG
98,114.91,141.45,213.55,181.09,1992.0,1.55,17.0,7.73,YAG
99,116.56,125.78,421.0,329.78,5936.0,3.0,54.0,9.0,YAG
100,126.0,147.5,264.7,241.7,2417.0,2.2,22.0,5.4,YAG
101,114.8,129.3,214.8,189.3,1893.0,1.7,17.0,5.8,YAG
102,99.21,118.71,146.42,137.67,3304.0,1.38,33.0,16.33,YAG
103,108.1,148.9,213.9,213.9,2139.0,2.0,20.0,8.1,YAG
104,121.73,130.73,189.4,165.73,2486.0,1.47,22.0,9.93,YAG
105,118.42,162.42,243.42,234.5,2814.0,1.5,18.0,6.42,YAG
