sentence_id,FFD_avg,GD_avg,GPT_avg,TRT_avg,TRT_sum,nFix_avg,nFix_sum,reading_order_avg
44,103.81,117.76,281.14,196.17,4511.88,1.86,42.74,11.0
45,113.72,137.58,207.91,175.83,4747.44,1.57,42.29,13.0
46,110.25,125.95,195.13,165.25,3305.09,1.46,29.11,9.5
47,117.37,137.11,252.28,204.6,5524.19,1.72,46.57,13.81
48,111.06,132.39,211.53,180.88,3617.58,1.63,32.6,9.5
49,124.64,148.11,262.12,219.84,5715.88,1.72,44.71,12.5
50,113.61,132.52,242.51,190.44,5141.87,1.62,43.8,13.0
51,117.14,142.82,243.66,210.64,4002.11,1.78,33.8,9.0
52,117.86,160.05,342.06,246.04,3444.56,1.92,26.9,6.5
53,121.92,149.06,219.44,182.58,1643.18,1.49,13.41,5.0
54,114.26,135.28,207.51,178.96,5189.85,1.53,44.43,15.21
55,111.58,124.45,212.75,171.06,7697.83,1.54,69.12,22.0
56,119.46,140.15,235.07,197.75,4943.71,1.65,41.37,12.0
57,116.47,128.38,200.06,153.58,2457.22,1.32,21.04,7.5
58,112.26,132.48,178.19,159.86,1598.56,1.32,13.23,4.5
59,107.17,120.42,283.84,215.6,1940.44,1.82,16.34,4.0
60,119.64,138.11,271.52,225.07,3826.11,1.83,31.04,8.0
61,116.58,132.16,195.59,172.6,3797.2,1.47,32.27,10.5
62,139.59,156.97,243.1,189.48,1705.35,1.35,12.15,4.0
63,121.6,145.0,253.97,210.49,2736.39,1.73,22.45,6.0
64,122.02,173.41,348.66,224.58,2021.26,1.72,15.44,4.0
65,116.24,142.73,222.46,202.02,3434.4,1.73,29.38,8.0
66,117.79,154.86,250.05,203.75,2445.04,1.64,19.73,5.5
67,118.43,138.23,186.75,173.17,3117.05,1.48,26.58,8.5
68,117.04,136.46,256.44,198.95,1591.63,1.54,12.34,3.5
69,111.27,136.31,190.86,177.01,4956.14,1.58,44.15,13.5
70,114.67,129.45,221.55,180.24,3965.3,1.56,34.24,10.5
71,163.15,190.33,241.14,208.43,1875.84,1.35,12.14,4.0
72,118.83,136.41,273.81,216.75,3034.55,1.83,25.61,7.07
73,115.29,131.37,248.7,200.27,2603.57,1.62,21.06,6.0
74,113.33,137.13,215.18,178.61,4108.02,1.56,35.85,11.0
75,161.07,180.66,413.74,302.98,2423.85,1.89,15.14,3.5
76,115.89,132.33,185.88,169.02,2028.27,1.43,17.13,5.5
77,164.43,188.56,346.06,317.72,2224.06,1.96,13.73,3.0
78,113.95,126.98,191.5,159.34,3664.71,1.41,32.38,11.0
79,134.05,165.09,361.96,285.39,1426.95,2.02,10.11,2.0
80,112.28,136.22,214.52,183.96,3679.27,1.59,31.85,9.5
81,116.84,134.49,269.08,196.0,4116.1,1.65,34.73,10.0
82,114.73,138.46,187.28,171.77,2061.27,1.41,16.96,5.5
83,116.47,135.16,201.53,179.22,4480.5,1.55,38.67,12.0
84,111.95,123.45,161.21,146.41,3513.9,1.32,31.77,11.5
85,114.52,135.43,230.11,209.1,1463.72,1.61,11.27,3.0
86,119.88,139.19,286.1,229.07,2977.95,1.88,24.5,6.0
87,113.97,125.08,170.88,169.02,3042.34,1.48,26.64,8.5
88,106.61,124.67,241.67,195.08,4096.65,1.77,37.09,10.1
89,110.84,137.79,213.02,181.97,5459.05,1.55,46.56,14.5
90,113.36,124.44,166.47,155.8,3427.52,1.36,29.94,10.5
91,108.63,120.88,211.06,170.81,5295.23,1.58,49.02,15.0
92,105.76,118.56,199.43,156.02,2028.21,1.39,18.09,6.0
93,110.11,122.07,148.52,132.23,3305.79,1.19,29.72,12.0
94,119.27,136.2,204.17,176.11,3170.02,1.52,27.4,8.5
95,117.22,124.26,193.53,156.99,2668.84,1.34,22.81,8.0
96,120.72,151.55,276.3,217.03,3472.5,1.75,27.96,8.12
97,113.46,132.71,216.49,199.47,2194.19,1.57,17.29,5.0
98,107.97,128.8,206.29,174.81,2622.2,1.51,22.72,7.0
99,118.84,134.97,238.92,210.65,4213.02,1.84,36.7,9.5
100,113.14,131.92,241.85,203.2,2438.45,1.77,21.19,5.5
101,119.46,138.67,187.37,174.52,2094.24,1.44,17.23,5.5
102,117.45,136.25,209.92,179.51,5564.66,1.54,47.81,16.0
103,111.11,123.69,202.51,166.38,2662.0,1.44,23.12,7.5
104,119.15,134.43,206.3,165.03,3300.63,1.35,26.93,9.5
105,131.51,162.31,293.56,243.76,3168.93,1.83,23.78,6.0
106,118.35,134.95,201.35,181.91,3092.52,1.51,25.71,8.0
107,119.39,131.95,221.42,162.89,2606.19,1.39,22.31,7.5
108,113.76,144.63,251.25,213.08,1491.53,1.74,12.21,3.0
109,116.98,150.81,231.31,197.82,2967.32,1.63,24.47,7.0
110,119.17,142.48,238.57,210.77,2740.01,1.71,22.21,6.0
111,119.18,135.88,224.7,198.65,2185.19,1.59,17.54,5.0
112,119.28,130.62,234.32,199.41,2791.72,1.6,22.47,6.5
113,116.11,132.01,221.21,175.26,2103.12,1.48,17.71,5.5
114,118.94,131.74,211.29,173.83,6779.53,1.49,58.09,19.0
115,112.87,125.72,207.94,176.86,2829.69,1.53,24.41,7.5
116,110.86,115.71,205.01,169.52,4238.06,1.49,37.28,12.0
117,121.98,139.98,230.97,203.51,5698.38,1.65,46.3,13.5
118,128.21,134.39,226.35,190.13,1330.92,1.38,9.69,3.0
119,115.69,134.47,266.06,186.07,3349.27,1.56,28.15,8.5
120,128.66,142.18,210.25,183.19,2198.32,1.37,16.47,5.5
121,119.2,129.52,207.9,165.21,3304.14,1.39,27.84,9.5
122,120.62,125.86,152.48,142.73,1570.0,1.18,12.93,5.0
123,112.34,149.41,221.85,205.98,2059.8,1.8,18.01,4.5
124,116.29,129.31,162.63,153.39,3221.12,1.31,27.6,10.0
125,116.91,141.07,183.94,165.02,2805.3,1.41,23.95,8.0
126,122.74,141.74,264.02,187.53,2625.42,1.46,20.51,6.5
127,128.39,152.82,191.64,187.78,1877.77,1.46,14.57,4.5
128,119.34,134.07,216.43,175.21,5081.14,1.45,42.15,14.0
129,112.01,121.68,171.56,150.44,2858.31,1.35,25.68,9.0
130,121.24,136.99,186.94,158.09,2687.55,1.29,21.95,8.0
131,118.96,131.65,236.71,188.31,1694.8,1.55,13.97,4.0
132,125.41,140.35,220.16,182.19,2732.91,1.43,21.47,7.0
133,116.93,130.55,198.65,162.9,3583.88,1.39,30.64,10.5
134,109.24,121.17,181.52,159.6,4628.44,1.44,41.63,14.0
135,113.59,133.64,247.2,189.78,2656.88,1.63,22.87,6.93
136,116.73,126.56,211.14,168.27,3365.33,1.42,28.31,9.5
137,114.14,131.76,215.42,179.64,1796.38,1.44,14.45,4.5
138,110.59,126.07,167.67,159.72,3194.48,1.38,27.51,9.5
139,106.2,120.63,194.7,155.67,1868.0,1.37,16.49,6.5
140,116.01,133.62,169.44,156.47,2034.15,1.31,16.99,6.0
141,111.54,123.12,148.79,140.02,3220.54,1.26,29.0,11.0
142,112.41,128.47,149.48,141.33,2967.94,1.23,25.8,10.0
143,106.38,114.88,160.26,133.18,3329.53,1.24,31.05,12.0
144,115.14,127.46,197.89,160.01,2240.16,1.34,18.77,6.5
145,122.75,136.47,221.72,186.2,2234.36,1.47,17.62,5.5
146,111.78,122.58,216.74,175.05,4376.35,1.59,39.63,12.0
147,108.37,119.53,157.5,143.65,3304.05,1.3,29.84,11.0
148,110.02,123.9,168.39,143.89,2877.86,1.31,26.14,9.5
149,115.12,131.99,215.42,174.24,3833.36,1.52,33.38,10.5
150,107.89,131.41,291.53,214.88,1074.41,1.8,8.98,2.0
151,109.9,120.67,206.58,161.31,4677.97,1.45,42.16,14.0
152,123.77,140.52,189.76,167.49,2009.93,1.31,15.69,5.5
153,109.33,118.17,188.28,150.53,4365.44,1.38,40.13,14.0
154,128.17,143.51,276.59,208.37,1458.6,1.6,11.2,3.0
155,125.69,133.13,242.55,180.35,2524.87,1.4,19.56,6.5
156,118.77,129.85,197.86,159.41,2072.36,1.33,17.25,6.0
157,117.12,136.25,194.92,167.14,3677.1,1.43,31.39,10.5
158,118.6,129.44,215.23,172.16,1893.73,1.47,16.21,5.0
159,111.71,122.65,160.39,140.64,3797.41,1.25,33.69,13.0
160,109.72,116.02,169.2,129.97,1819.55,1.15,16.13,6.5
161,114.89,123.13,170.35,142.8,2998.73,1.26,26.54,10.0
162,114.2,118.27,171.73,147.78,2660.12,1.27,22.95,8.5
163,132.37,159.46,222.68,191.92,1151.51,1.4,8.41,2.5
164,115.56,126.81,178.89,157.28,1730.1,1.3,14.25,5.0
165,112.91,124.94,188.99,164.71,7082.44,1.37,58.71,21.0
166,113.95,126.55,188.53,152.84,2292.58,1.31,19.7,7.6
167,112.11,125.79,168.6,153.27,4751.3,1.34,41.48,15.0
168,117.08,134.67,186.06,163.05,4891.35,1.39,41.74,14.5
169,111.29,125.7,181.84,151.28,4538.26,1.35,40.61,14.5
170,110.39,122.72,164.6,141.94,3548.46,1.28,31.95,12.0
171,116.86,126.96,206.97,169.49,3728.76,1.44,31.7,10.5
172,106.25,118.87,170.88,145.78,4519.16,1.35,41.77,15.0
173,112.44,126.81,201.74,163.77,3930.39,1.33,32.01,11.5
174,109.27,122.08,167.9,147.31,4272.08,1.31,38.11,14.0
175,111.59,121.26,234.75,158.62,4599.94,1.41,40.84,14.0
176,168.28,177.13,217.5,187.68,1126.1,1.15,6.89,2.5
177,150.16,172.26,357.32,311.95,1871.72,2.1,12.59,2.5
178,117.27,136.0,197.28,172.19,3960.34,1.44,33.14,11.78
179,110.78,125.27,230.49,163.45,1961.35,1.46,17.46,5.5
180,120.04,128.24,172.89,146.26,3071.42,1.24,25.94,10.0
181,117.38,132.0,187.76,155.51,2954.65,1.32,25.12,9.0
182,108.97,120.15,281.71,193.24,4058.1,1.73,36.43,10.0
183,111.96,123.52,194.95,163.92,3606.25,1.44,31.69,10.5
184,119.91,133.84,201.01,164.89,2308.47,1.34,18.74,6.5
185,108.54,117.78,159.75,148.68,1932.89,1.34,17.39,6.0
186,105.73,117.09,172.69,143.26,5730.43,1.3,52.11,19.5
187,115.56,127.4,188.21,166.98,1836.78,1.42,15.65,5.0
188,106.31,115.19,153.07,140.85,1408.48,1.28,12.78,4.5
189,101.67,113.79,142.14,130.2,3124.76,1.24,29.81,11.5
190,112.34,126.22,183.36,150.84,3620.04,1.34,32.15,11.5
191,119.61,127.48,160.27,143.78,2156.7,1.2,18.02,7.0
192,107.99,118.21,168.1,143.86,3452.74,1.31,31.42,11.5
193,112.99,127.22,208.7,155.68,1712.44,1.35,14.9,5.0
194,121.87,140.96,218.41,198.64,2582.34,1.56,20.32,6.31
195,109.35,121.62,179.55,155.55,3422.12,1.41,31.1,10.5
196,110.27,139.0,226.44,187.82,3380.75,1.6,28.76,8.5
197,113.01,127.04,208.81,170.18,1701.85,1.34,13.41,4.5
198,118.0,136.63,214.36,178.63,3036.7,1.47,24.93,8.0
199,116.1,136.9,207.81,187.9,4697.47,1.61,40.21,12.0
200,107.74,138.56,171.21,155.9,2650.35,1.4,23.76,8.0
201,108.56,125.25,194.01,153.45,4910.48,1.39,44.45,15.5
202,106.6,116.06,171.55,146.45,1318.06,1.36,12.26,4.0
203,105.5,114.77,146.41,132.27,5026.28,1.25,47.32,18.5
204,120.03,135.05,211.15,172.94,2939.97,1.43,24.32,8.0
205,115.66,131.43,187.24,162.18,3243.59,1.42,28.37,9.5
206,110.56,126.98,191.14,159.08,6045.09,1.39,52.92,18.5
207,110.97,131.1,183.04,154.8,2941.13,1.34,25.55,9.0
208,113.55,131.86,222.53,170.86,2904.56,1.46,24.75,8.0
209,120.11,130.34,199.09,171.79,2233.29,1.39,18.13,6.0
210,105.09,119.65,181.18,151.59,3031.71,1.39,27.74,9.5
211,130.41,150.65,313.9,244.69,4159.76,1.91,32.39,8.0
212,112.77,123.12,164.78,151.82,4706.36,1.36,42.27,15.0
213,112.41,124.14,161.99,149.57,3140.91,1.35,28.42,10.0
214,123.16,144.69,204.78,167.0,3507.04,1.39,29.25,10.0
215,128.99,135.91,180.7,171.49,2057.87,1.29,15.47,5.5
216,131.14,135.23,185.3,149.4,1942.26,1.15,14.98,6.0
217,116.67,144.52,178.87,159.59,2553.5,1.35,21.53,7.5
218,111.45,123.89,170.77,154.66,3557.17,1.41,32.35,11.0
219,108.84,113.24,167.62,138.29,1521.24,1.22,13.44,5.0
220,147.68,164.44,249.53,196.86,1771.75,1.37,12.35,4.0
221,121.87,130.72,232.29,181.2,4892.42,1.49,40.17,13.0
222,112.6,121.42,164.76,142.07,3551.73,1.26,31.47,12.56
223,113.03,130.65,172.7,150.94,2415.11,1.31,21.02,7.5
224,123.07,139.92,222.95,172.0,2579.96,1.39,20.86,7.0
225,116.61,129.75,195.86,160.4,3689.31,1.34,30.83,11.0
226,107.93,120.66,175.9,152.25,2131.5,1.35,18.88,6.5
227,134.19,150.97,232.63,195.19,1366.31,1.42,9.95,3.0
228,113.69,133.47,197.47,173.84,3476.72,1.55,31.0,9.5
229,114.23,125.3,188.26,156.36,1876.28,1.35,16.19,5.5
230,113.18,123.97,152.58,134.23,1208.07,1.17,10.51,4.0
231,143.64,150.52,277.65,191.64,958.19,1.29,6.45,2.0
232,126.34,145.69,179.52,165.86,1824.46,1.29,14.2,5.0
233,103.77,113.04,171.67,135.84,2581.03,1.28,24.41,9.0
234,114.34,130.5,217.99,170.38,5111.34,1.5,44.99,14.6
235,118.07,142.22,200.22,181.49,3448.38,1.48,28.07,9.0
236,111.07,132.09,183.31,159.82,4634.77,1.42,41.18,14.0
237,111.85,124.28,204.47,161.57,8078.31,1.43,71.44,24.5
238,111.93,120.11,198.53,154.1,4006.66,1.4,36.29,12.5
239,119.15,131.98,192.09,171.62,2574.25,1.42,21.32,7.0
240,113.2,127.79,177.98,159.88,3837.01,1.4,33.71,11.5
241,121.45,145.41,206.26,196.58,3341.84,1.64,27.82,8.12
242,107.7,114.1,162.42,132.34,1720.48,1.2,15.66,6.0
243,110.56,121.36,156.78,136.49,2047.34,1.25,18.77,7.0
244,115.45,127.45,168.77,146.43,1903.61,1.26,16.35,6.0
245,110.85,123.63,164.77,143.16,2576.81,1.31,23.5,8.5
246,113.14,119.76,202.42,161.08,2577.34,1.43,22.95,7.5
247,107.34,118.72,163.12,135.39,4196.99,1.26,39.14,15.0
248,109.74,118.11,176.93,141.69,3825.52,1.31,35.47,13.0
249,108.41,122.52,178.33,152.05,5929.83,1.32,51.59,20.0
250,107.6,120.0,178.52,148.95,2830.0,1.37,25.97,9.0
251,104.33,126.37,220.61,166.16,2658.58,1.52,24.31,7.5
252,112.57,124.5,171.26,152.12,1977.56,1.34,17.4,6.0
253,118.16,138.59,230.8,194.39,3304.65,1.55,26.43,8.0
254,109.23,130.49,174.36,154.55,5100.14,1.43,47.09,16.0
255,106.45,119.72,189.37,144.34,2886.71,1.31,26.12,9.5
256,104.3,121.84,163.91,144.49,3178.71,1.34,29.44,11.18
257,113.42,128.14,183.62,170.19,2722.99,1.45,23.25,7.5
258,116.7,125.42,193.99,160.9,2574.38,1.36,21.8,7.5
259,108.22,120.63,229.73,172.66,3453.17,1.59,31.86,9.5
260,119.21,140.52,194.06,181.71,2907.39,1.57,25.06,7.5
261,111.96,120.6,188.86,160.83,5468.33,1.42,48.42,16.5
262,106.38,114.95,141.03,127.15,3941.61,1.18,36.55,15.0
263,112.68,128.14,198.33,169.3,1862.3,1.45,15.96,5.0
264,108.84,123.68,176.69,154.24,4473.06,1.37,39.87,14.0
265,112.67,127.51,234.99,173.59,3645.3,1.49,31.37,10.0
266,119.24,130.33,239.58,201.28,3623.07,1.69,30.36,8.5
267,111.83,122.36,230.2,158.42,792.12,1.3,6.49,2.0
268,111.49,123.52,168.16,144.69,2459.78,1.27,21.55,8.0
269,113.86,122.49,156.4,139.79,2656.01,1.25,23.74,9.0
270,111.3,127.99,221.46,188.66,2075.27,1.62,17.79,5.0
271,114.12,121.5,167.21,148.86,2530.64,1.36,23.04,8.0
272,112.6,124.89,183.27,150.05,2850.99,1.32,25.12,9.0
273,112.27,135.16,190.57,185.38,1853.84,1.57,15.66,4.5
274,126.05,142.23,202.03,179.73,3414.78,1.39,26.37,9.0
275,125.02,140.03,205.47,180.66,1806.58,1.39,13.94,4.5
276,110.28,119.26,165.03,150.94,1962.16,1.35,17.61,6.0
277,106.5,114.33,166.76,143.87,2445.83,1.33,22.58,8.0
278,108.95,122.48,181.78,149.64,3142.38,1.36,28.62,10.0
279,108.47,116.21,167.58,138.2,2072.96,1.24,18.63,7.0
280,128.01,146.32,197.55,171.56,1544.08,1.29,11.62,4.0
281,120.28,135.46,197.11,170.58,1876.37,1.36,14.93,5.0
282,116.69,133.44,222.36,183.26,2932.2,1.55,24.79,7.5
283,119.58,136.3,198.2,154.85,6968.09,1.29,58.25,22.0
284,120.05,133.29,217.27,177.78,2311.13,1.48,19.25,6.0
285,140.38,179.39,223.04,205.12,1435.84,1.39,9.7,3.0
286,111.26,127.02,194.24,166.28,6817.66,1.53,62.64,20.0
287,111.04,120.04,198.01,142.85,2285.59,1.26,20.17,7.5
288,113.07,130.43,202.26,157.94,4580.13,1.41,40.87,14.0
289,113.48,126.76,162.88,152.97,2600.46,1.34,22.84,8.0
290,110.59,131.21,154.94,143.1,2146.46,1.27,19.09,7.0
291,115.78,122.56,178.47,146.68,2200.2,1.27,19.09,7.0
292,115.98,123.21,179.85,147.32,2504.43,1.23,20.88,8.0
293,110.22,118.31,143.47,123.13,1354.41,1.11,12.24,5.0
294,112.21,124.23,160.29,142.76,2712.51,1.25,23.75,9.0
295,105.07,107.93,146.87,119.74,1796.14,1.15,17.23,7.0
296,107.85,113.2,154.17,126.34,2147.85,1.17,19.84,8.0
297,124.65,141.07,225.91,181.48,1996.24,1.46,16.1,5.0
298,126.29,147.38,210.4,185.8,1486.39,1.38,11.0,3.5
299,104.21,116.4,135.29,123.87,1486.48,1.17,14.08,5.5
300,102.67,114.74,222.81,139.8,5172.56,1.34,49.54,18.0
301,109.9,119.56,173.68,144.26,2452.37,1.28,21.81,8.65
302,110.44,122.53,170.65,148.65,2229.73,1.33,19.9,7.0
303,109.89,124.28,184.02,145.48,2473.22,1.25,21.26,8.0
304,103.82,111.8,148.98,129.73,2854.15,1.21,26.67,11.5
305,116.47,132.32,211.03,181.32,2175.82,1.5,17.99,5.5
306,110.95,125.47,190.97,165.71,4142.65,1.47,36.68,12.76
307,102.71,107.74,205.73,140.29,3226.59,1.3,29.87,11.74
308,116.06,126.02,166.99,143.09,1860.13,1.22,15.83,6.0
309,108.14,114.37,206.9,153.05,7958.76,1.41,73.45,25.5
310,109.6,117.98,147.32,131.97,3827.18,1.19,34.65,14.0
311,126.85,145.16,192.55,168.18,1849.97,1.35,14.89,5.0
312,116.74,135.97,199.67,178.44,4282.5,1.52,36.5,11.5
313,123.71,133.94,186.33,163.71,1637.12,1.34,13.44,4.5
314,106.72,123.09,161.61,138.11,3038.43,1.28,28.27,10.5
315,107.74,119.08,173.14,138.6,4296.7,1.29,39.93,15.0
316,104.63,114.19,155.64,127.15,4704.41,1.21,44.82,18.0
317,110.47,121.49,168.91,150.52,4967.13,1.35,44.71,16.0
318,112.55,122.65,202.32,158.53,3804.63,1.37,32.98,11.5
319,107.39,115.25,148.82,135.06,2701.25,1.23,24.5,9.5
320,117.43,123.78,165.09,133.52,1468.76,1.14,12.58,5.0
321,114.35,125.48,159.96,145.56,3202.23,1.28,28.16,10.77
322,106.15,116.29,165.96,143.88,4172.52,1.32,38.16,14.0
323,146.12,159.63,197.59,187.73,938.64,1.25,6.23,3.0
324,116.11,131.91,192.88,158.87,2383.1,1.37,20.5,7.0
325,117.06,131.22,224.17,195.81,1566.49,1.6,12.84,3.5
326,113.15,135.88,228.94,179.84,2877.38,1.52,24.34,8.12
327,113.51,123.53,156.02,139.29,3343.06,1.25,29.93,12.5
328,103.9,112.41,139.48,128.52,3855.64,1.21,36.38,14.5
329,116.02,130.3,176.98,158.1,2845.79,1.33,23.93,8.5
330,107.42,112.65,184.81,145.15,4499.5,1.31,40.53,15.0
331,108.56,119.99,163.48,135.42,3656.22,1.24,33.48,13.0
332,108.34,128.09,161.0,149.8,2097.2,1.35,18.94,6.5
333,108.31,120.2,176.01,164.68,2964.23,1.5,26.98,8.5
334,109.56,121.64,221.96,155.89,3117.87,1.4,28.1,9.5
335,112.22,122.48,158.9,144.53,3179.65,1.27,27.92,10.5
336,116.51,130.17,167.78,152.38,3809.52,1.31,32.69,12.0
337,115.13,138.4,215.06,181.78,2726.74,1.56,23.45,7.0
338,107.26,117.93,162.34,157.83,2840.95,1.43,25.67,8.5
339,117.33,131.41,190.55,172.08,3097.53,1.42,25.48,8.5
340,105.57,117.0,150.85,138.6,5543.88,1.32,52.86,19.5
341,106.92,116.34,160.48,139.51,2790.14,1.24,24.82,9.5
342,119.29,131.26,180.55,166.1,2823.76,1.43,24.28,8.0
343,112.24,121.28,192.35,150.54,3462.46,1.3,29.86,11.0
344,109.56,115.42,155.66,133.77,1605.26,1.2,14.42,5.5
345,106.44,112.52,138.67,129.94,3508.45,1.23,33.27,13.0
346,113.29,126.66,161.3,142.42,2421.08,1.26,21.45,8.0
347,106.57,115.97,149.5,137.84,2481.09,1.28,22.96,8.5
348,110.14,121.52,166.89,147.69,2363.05,1.33,21.24,7.5
