sentence_id,FFD_avg,FFD_sum,GD_avg,GD_sum,GPT_avg,GPT_sum,TRT_avg,TRT_sum,nFix_avg,nFix_sum,reading_order_avg,subject
49,152.18,2587.0,202.0,3434.0,353.29,6006.0,286.59,4872.0,2.06,35.0,13.18,YAC
50,137.33,2884.0,153.9,3232.0,204.81,4301.0,196.52,4127.0,1.52,32.0,12.62,YAC
51,176.62,2826.0,235.81,3773.0,297.38,4758.0,255.38,4086.0,1.5,24.0,8.75,YAC
52,194.0,1940.0,288.8,2888.0,288.8,2888.0,288.8,2888.0,1.7,17.0,7.0,YAC
53,122.29,856.0,248.57,1740.0,248.57,1740.0,248.57,1740.0,1.57,11.0,5.57,YAC
54,121.83,2924.0,129.54,3109.0,158.08,3794.0,150.71,3617.0,1.21,29.0,16.46,YAC
55,141.26,4803.0,147.59,5018.0,172.76,5874.0,162.21,5515.0,1.21,41.0,21.47,YAC
56,129.9,2728.0,162.76,3418.0,211.52,4442.0,187.86,3945.0,1.38,29.0,11.86,YAC
57,106.45,1171.0,119.64,1316.0,138.73,1526.0,138.73,1526.0,1.27,14.0,8.55,YAC
58,97.14,680.0,144.43,1011.0,198.57,1390.0,189.57,1327.0,1.43,10.0,5.57,YAC
59,103.75,830.0,103.75,830.0,273.25,2186.0,175.75,1406.0,1.62,13.0,4.12,YAC
60,139.0,1668.0,187.33,2248.0,221.33,2656.0,221.33,2656.0,1.5,18.0,7.5,YAC
61,127.07,1906.0,156.67,2350.0,179.47,2692.0,179.47,2692.0,1.2,18.0,11.47,YAC
62,253.75,1015.0,367.0,1468.0,367.0,1468.0,367.0,1468.0,1.75,7.0,5.0,YAC
63,142.27,1565.0,176.91,1946.0,257.27,2830.0,214.64,2361.0,1.55,17.0,5.55,YAC
64,121.14,848.0,199.86,1399.0,235.43,1648.0,199.86,1399.0,1.43,10.0,3.86,YAC
65,124.83,1498.0,137.75,1653.0,177.42,2129.0,163.67,1964.0,1.33,16.0,8.42,YAC
66,192.0,1536.0,257.5,2060.0,327.5,2620.0,270.38,2163.0,1.5,12.0,6.12,YAC
67,117.45,1292.0,137.36,1511.0,184.91,2034.0,178.36,1962.0,1.55,17.0,10.0,YAC
68,119.5,717.0,119.5,717.0,189.33,1136.0,189.33,1136.0,1.33,8.0,4.0,YAC
69,130.95,2750.0,155.05,3256.0,182.62,3835.0,167.38,3515.0,1.33,28.0,12.29,YAC
70,127.12,2034.0,127.12,2034.0,157.5,2520.0,143.56,2297.0,1.12,18.0,9.88,YAC
71,162.0,1134.0,181.86,1273.0,206.14,1443.0,191.14,1338.0,1.29,9.0,4.0,YAC
72,178.08,2315.0,178.08,2315.0,220.0,2860.0,220.0,2860.0,1.31,17.0,6.85,YAC
73,150.3,1503.0,212.9,2129.0,298.9,2989.0,282.0,2820.0,1.7,17.0,6.0,YAC
74,124.68,2369.0,170.68,3243.0,238.16,4525.0,206.53,3924.0,1.37,26.0,10.84,YAC
75,236.83,1421.0,236.83,1421.0,296.5,1779.0,296.5,1779.0,1.17,7.0,3.5,YAC
76,141.67,1275.0,181.0,1629.0,227.22,2045.0,227.22,2045.0,1.44,13.0,6.0,YAC
77,196.67,1180.0,196.67,1180.0,231.5,1389.0,231.5,1389.0,1.17,7.0,3.5,YAC
78,154.71,2166.0,183.64,2571.0,203.0,2842.0,203.0,2842.0,1.29,18.0,11.0,YAC
79,156.4,782.0,156.4,782.0,332.6,1663.0,236.8,1184.0,1.4,7.0,2.0,YAC
80,119.14,1668.0,176.29,2468.0,227.64,3187.0,176.29,2468.0,1.29,18.0,9.5,YAC
81,126.79,1775.0,136.21,1907.0,162.43,2274.0,162.43,2274.0,1.21,17.0,10.36,YAC
82,128.75,1030.0,176.12,1409.0,236.0,1888.0,225.88,1807.0,1.62,13.0,7.12,YAC
83,123.61,2225.0,169.39,3049.0,183.83,3309.0,169.39,3049.0,1.33,24.0,12.06,YAC
84,155.05,2946.0,166.37,3161.0,183.0,3477.0,166.37,3161.0,1.16,22.0,12.26,YAC
85,116.75,467.0,227.75,911.0,292.75,1171.0,292.75,1171.0,2.0,8.0,4.5,YAC
86,135.22,1217.0,193.89,1745.0,309.44,2785.0,295.56,2660.0,2.22,20.0,6.33,YAC
87,112.18,1234.0,144.0,1584.0,174.64,1921.0,174.64,1921.0,1.27,14.0,9.55,YAC
88,121.31,1577.0,149.15,1939.0,181.08,2354.0,181.08,2354.0,1.46,19.0,11.08,YAC
89,132.54,3181.0,141.42,3394.0,182.71,4385.0,164.12,3939.0,1.25,30.0,14.0,YAC
90,120.06,2041.0,120.06,2041.0,180.29,3065.0,174.24,2962.0,1.35,23.0,9.94,YAC
91,113.7,2615.0,152.43,3506.0,242.48,5577.0,204.09,4694.0,1.57,36.0,15.91,YAC
92,99.0,792.0,168.75,1350.0,182.5,1460.0,182.5,1460.0,1.25,10.0,6.5,YAC
93,155.71,2180.0,166.43,2330.0,176.07,2465.0,171.07,2395.0,1.21,17.0,13.43,YAC
94,176.31,2292.0,187.62,2439.0,241.92,3145.0,209.92,2729.0,1.23,16.0,10.0,YAC
95,128.6,1286.0,128.6,1286.0,136.1,1361.0,136.1,1361.0,1.1,11.0,8.3,YAC
96,129.79,1817.0,154.86,2168.0,220.71,3090.0,214.0,2996.0,1.57,22.0,7.5,YAC
97,88.86,622.0,119.57,837.0,144.71,1013.0,144.71,1013.0,1.57,11.0,5.71,YAC
98,122.3,1223.0,132.7,1327.0,189.6,1896.0,189.6,1896.0,1.5,15.0,8.4,YAC
99,166.67,2500.0,199.2,2988.0,239.47,3592.0,221.8,3327.0,1.53,23.0,10.07,YAC
100,117.75,942.0,126.75,1014.0,212.12,1697.0,212.12,1697.0,1.62,13.0,6.0,YAC
101,179.75,1438.0,191.62,1533.0,222.75,1782.0,200.88,1607.0,1.25,10.0,5.25,YAC
102,147.61,3395.0,172.87,3976.0,208.17,4788.0,198.48,4565.0,1.35,31.0,15.74,YAC
103,109.25,1311.0,113.92,1367.0,148.25,1779.0,141.17,1694.0,1.25,15.0,8.17,YAC
104,124.47,1867.0,139.2,2088.0,184.0,2760.0,164.53,2468.0,1.33,20.0,9.33,YAC
105,160.83,1930.0,189.67,2276.0,307.17,3686.0,300.42,3605.0,2.0,24.0,5.83,YAC
106,141.17,1694.0,182.08,2185.0,194.58,2335.0,188.33,2260.0,1.25,15.0,8.17,YAC
107,133.0,1596.0,142.42,1709.0,179.42,2153.0,179.42,2153.0,1.33,16.0,8.67,YAC
108,158.17,949.0,176.83,1061.0,217.83,1307.0,205.67,1234.0,1.33,8.0,3.5,YAC
109,105.55,1161.0,182.18,2004.0,244.82,2693.0,216.55,2382.0,1.73,19.0,6.64,YAC
110,137.45,1512.0,170.18,1872.0,223.27,2456.0,181.0,1991.0,1.36,15.0,6.73,YAC
111,106.8,1068.0,133.3,1333.0,209.3,2093.0,144.1,1441.0,1.2,12.0,5.0,YAC
112,149.67,1347.0,166.33,1497.0,242.0,2178.0,242.0,2178.0,1.56,14.0,7.33,YAC
113,113.62,909.0,150.75,1206.0,209.75,1678.0,150.75,1206.0,1.12,9.0,6.0,YAC
114,113.69,3297.0,113.69,3297.0,159.69,4631.0,135.07,3917.0,1.14,33.0,17.38,YAC
115,104.86,734.0,104.86,734.0,339.86,2379.0,266.43,1865.0,2.29,16.0,3.57,YAC
116,106.43,1490.0,106.43,1490.0,203.71,2852.0,166.29,2328.0,1.64,23.0,8.07,YAC
117,123.81,1981.0,131.12,2098.0,131.12,2098.0,131.12,2098.0,1.06,17.0,16.06,YAC
118,113.25,453.0,113.25,453.0,217.0,868.0,187.0,748.0,1.5,6.0,3.5,YAC
119,93.62,1217.0,93.62,1217.0,294.77,3832.0,158.31,2058.0,1.69,22.0,8.08,YAC
120,230.86,1616.0,264.29,1850.0,264.29,1850.0,264.29,1850.0,1.14,8.0,6.29,YAC
121,111.5,1338.0,117.83,1414.0,168.67,2024.0,162.08,1945.0,1.25,15.0,9.92,YAC
122,144.67,868.0,144.67,868.0,179.33,1076.0,144.67,868.0,1.0,6.0,5.0,YAC
123,96.0,672.0,191.57,1341.0,336.86,2358.0,228.86,1602.0,1.71,12.0,5.0,YAC
124,115.0,1610.0,140.14,1962.0,181.36,2539.0,174.43,2442.0,1.29,18.0,9.86,YAC
125,127.3,1273.0,160.9,1609.0,192.9,1929.0,160.9,1609.0,1.2,12.0,9.0,YAC
126,108.0,864.0,136.38,1091.0,219.25,1754.0,219.25,1754.0,1.88,15.0,7.25,YAC
127,135.29,947.0,195.0,1365.0,255.43,1788.0,255.43,1788.0,1.57,11.0,5.86,YAC
128,107.16,2036.0,157.32,2989.0,183.74,3491.0,183.74,3491.0,1.42,27.0,15.0,YAC
129,169.3,1693.0,213.3,2133.0,213.3,2133.0,213.3,2133.0,1.3,13.0,10.1,YAC
130,114.08,1369.0,166.58,1999.0,177.33,2128.0,166.58,1999.0,1.42,17.0,9.67,YAC
131,108.0,432.0,162.5,650.0,298.75,1195.0,298.75,1195.0,2.5,10.0,4.0,YAC
132,119.82,1318.0,128.82,1417.0,152.36,1676.0,137.45,1512.0,1.18,13.0,7.45,YAC
133,100.54,1307.0,106.38,1383.0,128.46,1670.0,128.46,1670.0,1.15,15.0,10.69,YAC
134,108.2,2164.0,108.2,2164.0,117.95,2359.0,108.2,2164.0,1.0,20.0,14.5,YAC
135,117.5,1175.0,117.5,1175.0,199.2,1992.0,188.7,1887.0,1.7,17.0,8.0,YAC
136,117.08,1522.0,124.69,1621.0,145.08,1886.0,124.69,1621.0,1.08,14.0,10.23,YAC
137,103.67,622.0,103.67,622.0,172.83,1037.0,160.83,965.0,1.17,7.0,5.33,YAC
138,91.23,1186.0,107.08,1392.0,198.08,2575.0,186.15,2420.0,1.54,20.0,10.46,YAC
139,98.44,886.0,108.67,978.0,221.67,1995.0,221.67,1995.0,1.67,15.0,6.33,YAC
140,118.75,950.0,179.38,1435.0,179.38,1435.0,179.38,1435.0,1.38,11.0,6.62,YAC
141,102.67,1540.0,112.53,1688.0,147.6,2214.0,127.53,1913.0,1.2,18.0,12.07,YAC
142,140.57,1968.0,145.93,2043.0,159.64,2235.0,159.64,2235.0,1.14,16.0,12.36,YAC
143,103.47,1552.0,111.6,1674.0,158.27,2374.0,128.53,1928.0,1.2,18.0,12.33,YAC
144,101.0,1010.0,119.3,1193.0,162.6,1626.0,128.3,1283.0,1.3,13.0,6.4,YAC
145,92.0,644.0,92.0,644.0,180.14,1261.0,170.71,1195.0,1.14,8.0,7.43,YAC
146,103.07,1546.0,123.27,1849.0,174.13,2612.0,146.0,2190.0,1.4,21.0,12.33,YAC
147,96.36,1349.0,102.5,1435.0,102.5,1435.0,102.5,1435.0,1.07,15.0,11.21,YAC
148,110.15,1432.0,126.92,1650.0,189.54,2464.0,160.38,2085.0,1.54,20.0,10.54,YAC
149,98.0,1470.0,113.0,1695.0,124.8,1872.0,118.6,1779.0,1.27,19.0,11.73,YAC
150,94.25,377.0,94.25,377.0,314.75,1259.0,290.0,1160.0,2.0,8.0,2.25,YAC
151,110.5,1989.0,113.67,2046.0,132.67,2388.0,119.78,2156.0,1.11,20.0,13.89,YAC
152,116.88,935.0,155.5,1244.0,215.62,1725.0,185.38,1483.0,1.38,11.0,6.0,YAC
153,122.0,2806.0,124.17,2856.0,140.13,3223.0,126.74,2915.0,1.09,25.0,13.57,YAC
154,121.8,609.0,121.8,609.0,194.2,971.0,169.6,848.0,1.4,7.0,4.0,YAC
155,94.0,752.0,94.0,752.0,150.5,1204.0,133.25,1066.0,1.25,10.0,7.75,YAC
156,130.22,1172.0,139.67,1257.0,171.0,1539.0,139.67,1257.0,1.11,10.0,6.0,YAC
157,110.0,1870.0,117.06,1990.0,127.76,2172.0,117.06,1990.0,1.06,18.0,11.12,YAC
158,124.88,999.0,134.12,1073.0,141.88,1135.0,134.12,1073.0,1.12,9.0,5.25,YAC
159,100.24,2105.0,100.24,2105.0,158.05,3319.0,131.52,2762.0,1.29,27.0,12.19,YAC
160,128.44,1156.0,128.44,1156.0,139.11,1252.0,128.44,1156.0,1.0,9.0,7.22,YAC
161,90.64,1269.0,94.79,1327.0,120.79,1691.0,106.29,1488.0,1.21,17.0,9.5,YAC
162,111.27,1224.0,111.27,1224.0,136.64,1503.0,117.18,1289.0,1.09,12.0,9.55,YAC
163,214.0,642.0,214.0,642.0,214.0,642.0,214.0,642.0,1.0,3.0,4.0,YAC
164,110.0,770.0,120.0,840.0,167.71,1174.0,167.71,1174.0,1.29,9.0,4.86,YAC
165,96.77,2516.0,125.85,3272.0,134.54,3498.0,130.19,3385.0,1.19,31.0,21.46,YAC
166,134.0,1206.0,134.0,1206.0,203.89,1835.0,190.56,1715.0,1.33,12.0,7.22,YAC
167,113.68,2160.0,113.68,2160.0,136.95,2602.0,113.68,2160.0,1.0,19.0,14.84,YAC
168,118.37,2249.0,126.84,2410.0,126.84,2410.0,126.84,2410.0,1.11,21.0,16.0,YAC
169,96.61,1739.0,131.61,2369.0,141.0,2538.0,135.28,2435.0,1.39,25.0,14.0,YAC
170,103.38,1654.0,118.56,1897.0,138.06,2209.0,118.56,1897.0,1.12,18.0,11.0,YAC
171,104.77,1362.0,116.46,1514.0,175.0,2275.0,138.77,1804.0,1.31,17.0,12.15,YAC
172,94.89,1708.0,99.67,1794.0,144.11,2594.0,112.5,2025.0,1.17,21.0,15.22,YAC
173,113.5,1589.0,118.0,1652.0,142.36,1993.0,128.86,1804.0,1.14,16.0,12.21,YAC
174,96.71,1354.0,96.71,1354.0,112.21,1571.0,112.21,1571.0,1.07,15.0,14.86,YAC
175,106.0,1696.0,113.75,1820.0,127.06,2033.0,113.75,1820.0,1.12,18.0,12.69,YAC
176,183.5,367.0,183.5,367.0,275.0,550.0,275.0,550.0,1.5,3.0,3.5,YAC
177,131.5,789.0,131.5,789.0,209.67,1258.0,194.83,1169.0,1.5,9.0,2.5,YAC
178,132.5,1590.0,149.33,1792.0,199.83,2398.0,199.83,2398.0,1.75,21.0,8.67,YAC
179,102.88,823.0,130.38,1043.0,191.5,1532.0,140.25,1122.0,1.25,10.0,5.25,YAC
180,93.62,1217.0,93.62,1217.0,124.85,1623.0,108.92,1416.0,1.08,14.0,10.62,YAC
181,116.64,1633.0,116.64,1633.0,166.0,2324.0,137.86,1930.0,1.21,17.0,8.29,YAC
182,97.69,1563.0,101.31,1621.0,128.0,2048.0,115.06,1841.0,1.19,19.0,9.62,YAC
183,92.58,1111.0,107.08,1285.0,127.25,1527.0,127.25,1527.0,1.17,14.0,10.75,YAC
184,152.86,1070.0,152.86,1070.0,152.86,1070.0,152.86,1070.0,1.0,7.0,7.29,YAC
185,98.44,886.0,98.44,886.0,108.22,974.0,98.44,886.0,1.0,9.0,6.89,YAC
186,89.6,2240.0,93.08,2327.0,115.28,2882.0,97.12,2428.0,1.08,27.0,18.08,YAC
187,92.33,554.0,149.83,899.0,149.83,899.0,149.83,899.0,1.17,7.0,5.83,YAC
188,118.5,711.0,118.5,711.0,163.67,982.0,163.67,982.0,1.17,7.0,5.5,YAC
189,103.0,1442.0,103.0,1442.0,108.07,1513.0,103.0,1442.0,1.0,14.0,11.79,YAC
190,111.0,1554.0,115.64,1619.0,126.0,1764.0,120.36,1685.0,1.14,16.0,11.07,YAC
191,97.2,972.0,97.2,972.0,124.7,1247.0,118.3,1183.0,1.1,11.0,7.3,YAC
192,95.87,1438.0,95.87,1438.0,113.47,1702.0,95.87,1438.0,1.0,15.0,12.33,YAC
193,114.17,685.0,126.67,760.0,159.67,958.0,126.67,760.0,1.17,7.0,4.67,YAC
194,132.89,1196.0,132.89,1196.0,132.89,1196.0,132.89,1196.0,1.0,9.0,7.78,YAC
195,104.23,1355.0,110.85,1441.0,110.85,1441.0,110.85,1441.0,1.08,14.0,10.85,YAC
196,110.0,1430.0,110.0,1430.0,121.31,1577.0,114.38,1487.0,1.08,14.0,8.23,YAC
197,97.0,582.0,147.67,886.0,147.67,886.0,147.67,886.0,1.17,7.0,5.17,YAC
198,101.45,1116.0,110.82,1219.0,121.55,1337.0,121.55,1337.0,1.18,13.0,7.82,YAC
199,127.87,1918.0,137.33,2060.0,151.53,2273.0,137.33,2060.0,1.13,17.0,12.8,YAC
200,101.57,711.0,116.29,814.0,116.29,814.0,116.29,814.0,1.14,8.0,8.29,YAC
300,89.46,2326.0,89.46,2326.0,122.42,3183.0,110.92,2884.0,1.19,31.0,17.0,YAC
301,109.42,1313.0,123.33,1480.0,206.92,2483.0,137.25,1647.0,1.33,16.0,9.0,YAC
302,132.3,1323.0,140.0,1400.0,140.0,1400.0,140.0,1400.0,1.1,11.0,7.8,YAC
303,137.25,1647.0,146.75,1761.0,165.33,1984.0,156.08,1873.0,1.17,14.0,7.92,YAC
304,113.25,1812.0,113.25,1812.0,132.06,2113.0,126.62,2026.0,1.12,18.0,11.19,YAC
305,101.44,913.0,125.22,1127.0,177.33,1596.0,163.78,1474.0,1.33,12.0,6.89,YAC
306,121.56,1945.0,164.12,2626.0,164.12,2626.0,164.12,2626.0,1.25,20.0,12.81,YAC
307,80.47,1207.0,87.2,1308.0,242.93,3644.0,158.93,2384.0,1.53,23.0,12.07,YAC
308,111.6,1116.0,111.6,1116.0,190.4,1904.0,183.1,1831.0,1.4,14.0,6.3,YAC
309,94.82,2655.0,94.82,2655.0,110.04,3081.0,101.21,2834.0,1.07,30.0,23.5,YAC
310,126.33,1895.0,131.6,1974.0,148.53,2228.0,131.6,1974.0,1.07,16.0,13.47,YAC
311,162.22,1460.0,170.22,1532.0,170.22,1532.0,170.22,1532.0,1.11,10.0,5.78,YAC
312,95.29,1620.0,103.53,1760.0,184.29,3133.0,133.82,2275.0,1.41,24.0,11.0,YAC
313,126.67,760.0,137.33,824.0,188.83,1133.0,188.83,1133.0,1.33,8.0,5.33,YAC
314,95.21,1333.0,146.64,2053.0,146.64,2053.0,146.64,2053.0,1.43,20.0,11.29,YAC
315,95.75,1915.0,100.7,2014.0,114.3,2286.0,103.9,2078.0,1.1,22.0,15.45,YAC
316,94.09,2070.0,94.09,2070.0,113.95,2507.0,99.32,2185.0,1.05,23.0,17.14,YAC
317,98.59,2169.0,105.5,2321.0,127.27,2800.0,119.73,2634.0,1.18,26.0,15.23,YAC
318,110.93,1553.0,114.71,1606.0,119.0,1666.0,114.71,1606.0,1.07,15.0,13.14,YAC
319,106.75,1281.0,111.67,1340.0,144.92,1739.0,138.92,1667.0,1.17,14.0,10.42,YAC
320,101.86,713.0,110.71,775.0,214.14,1499.0,152.29,1066.0,1.29,9.0,5.0,YAC
321,105.33,1580.0,109.13,1637.0,141.53,2123.0,116.0,1740.0,1.13,17.0,12.07,YAC
322,98.89,1879.0,104.05,1977.0,141.74,2693.0,127.89,2430.0,1.21,23.0,14.11,YAC
323,323.0,969.0,323.0,969.0,323.0,969.0,323.0,969.0,1.0,3.0,3.67,YAC
324,108.64,1195.0,108.64,1195.0,188.82,2077.0,150.09,1651.0,1.27,14.0,7.27,YAC
325,160.8,804.0,160.8,804.0,254.4,1272.0,232.2,1161.0,1.4,7.0,3.8,YAC
326,108.67,1304.0,125.58,1507.0,231.92,2783.0,133.92,1607.0,1.17,14.0,7.08,YAC
327,94.47,1417.0,94.47,1417.0,112.73,1691.0,106.87,1603.0,1.13,17.0,12.8,YAC
328,89.53,1522.0,95.53,1624.0,98.94,1682.0,95.53,1624.0,1.06,18.0,15.71,YAC
329,102.25,1227.0,112.92,1355.0,150.83,1810.0,141.42,1697.0,1.25,15.0,8.42,YAC
330,96.63,1836.0,96.63,1836.0,169.47,3220.0,96.63,1836.0,1.0,19.0,14.95,YAC
331,91.8,1377.0,103.47,1552.0,103.47,1552.0,103.47,1552.0,1.13,17.0,15.0,YAC
332,118.1,1181.0,133.4,1334.0,133.4,1334.0,133.4,1334.0,1.2,12.0,6.7,YAC
333,106.64,1173.0,118.91,1308.0,142.27,1565.0,142.27,1565.0,1.18,13.0,10.18,YAC
334,111.4,1671.0,121.8,1827.0,160.93,2414.0,155.87,2338.0,1.4,21.0,10.07,YAC
335,110.08,1321.0,116.83,1402.0,125.83,1510.0,125.83,1510.0,1.17,14.0,11.0,YAC
336,106.06,1697.0,118.19,1891.0,171.75,2748.0,147.69,2363.0,1.38,22.0,13.19,YAC
337,115.09,1266.0,155.55,1711.0,163.91,1803.0,163.91,1803.0,1.27,14.0,6.64,YAC
338,117.08,1405.0,117.08,1405.0,144.5,1734.0,144.5,1734.0,1.17,14.0,8.75,YAC
339,134.23,1745.0,134.23,1745.0,166.92,2170.0,139.23,1810.0,1.08,14.0,9.54,YAC
340,88.3,2031.0,96.0,2208.0,123.61,2843.0,113.39,2608.0,1.22,28.0,19.87,YAC
341,82.0,902.0,112.09,1233.0,116.64,1283.0,112.09,1233.0,1.09,12.0,10.82,YAC
342,108.17,1298.0,126.0,1512.0,153.33,1840.0,126.0,1512.0,1.17,14.0,7.75,YAC
343,103.6,1036.0,153.9,1539.0,205.0,2050.0,205.0,2050.0,1.7,17.0,10.5,YAC
344,147.5,885.0,161.67,970.0,161.67,970.0,161.67,970.0,1.17,7.0,7.33,YAC
345,108.62,1412.0,108.62,1412.0,108.62,1412.0,108.62,1412.0,1.0,13.0,14.46,YAC
346,119.18,1311.0,119.18,1311.0,148.64,1635.0,142.36,1566.0,1.09,12.0,9.55,YAC
347,114.38,1487.0,114.38,1487.0,151.46,1969.0,121.54,1580.0,1.08,14.0,9.0,YAC
348,98.11,883.0,98.11,883.0,107.11,964.0,107.11,964.0,1.11,10.0,8.56,YAC
0,109.45,2189.0,128.0,2560.0,362.05,7241.0,211.3,4226.0,2.05,41.0,11.9,YAG
1,97.06,1650.0,110.76,1883.0,387.94,6595.0,298.71,5078.0,3.0,51.0,8.0,YAG
2,89.09,980.0,109.27,1202.0,160.09,1761.0,145.55,1601.0,1.45,16.0,7.64,YAG
3,110.54,2874.0,123.19,3203.0,367.96,9567.0,301.35,7835.0,2.62,68.0,12.62,YAG
4,80.25,1284.0,107.19,1715.0,186.88,2990.0,169.0,2704.0,1.94,31.0,10.75,YAG
5,103.58,3211.0,136.81,4241.0,453.23,14050.0,440.68,13661.0,4.0,124.0,16.97,YAG
6,124.25,2485.0,157.2,3144.0,197.1,3942.0,189.2,3784.0,1.65,33.0,12.25,YAG
7,102.45,2971.0,143.45,4160.0,459.14,13315.0,437.93,12700.0,4.07,118.0,16.07,YAG
