sentence_id	sentence
109	But White intervened, and arranged for the still-teenaged Evelyn to undergo an operation for appendicitis.
110	White was later murdered by Nesbit's vengeful husband, Pittsburgh millionaire Harry K. Thaw.
111	His dying words were 'Die? I should say not, dear fellow'.
112	In 1964 she went to Reprise again, shifting the next year to Dot Records.
113	No Barrymore would allow such a conventional thing to happen to him.
114	According to Errol Flynn's memoirs, film director Raoul Walsh 'borrowed' Barrymore's body after the funeral, and left his corpse propped in a chair for a drunken Flynn to discover when he returned home from The Cock and Bull bar.
115	Other accounts of this classic Hollywood tale substitute actor Peter Lorre in the place of Walsh.
116	He is also notable in that he is the great great great grandfather of President George W. Bush through his son Reverend James Smith Bush.
117	He left home during the War of 1812 amd married in Rochester on November 8, 1821, Harriet Smith the daughter of Dr. Sanford Smith and Priscilla Whipple Smith.
118	He and his wife had seven children.
119	With the aid of an aunt, the young Clampett designed the first Mickey Mouse dolls for Walt Disney.
120	She was a researcher and reporter at Thames Television [1980 to 1983].
121	After two years of toiling in California he began passage home, by ship, to retrieve his family in New York.
122	He died, however, aboard ship and was given a sea burial.
123	He was an African-American jazz trumpeter, bandleader, singer, and composer.
124	In 1962, Clampett created an animated version of the show called Beany and Cecil, which ran on ABC for five years.
125	The business was dissolved in 1834 due to the difficulties in placing Long's locomotive designs into production.
126	In 1814, he was commissioned a lieutenant of engineers in the United States Army.
127	In March 1819 he married Martha Hodgkins of Philadelphia, Pennsylvania.
128	The following month, as a brevet major in the U.S. Army, he was appointed to lead an expedition through the American West, in areas acquired in the Louisiana Purchase.
129	The specific purpose of the voyage was to the find the sources of the Platte, Arkansas, and Red rivers.
130	For a time in the summer of 1823, his expedition was joined by Italian explorer Giacomo Beltrami.
131	She is the well-meaning and patient wife of Homer.
132	Her most notable physical feature is her blue hair, styled into an improbably high beehive.
133	It was once mentioned, by Homer, that she actually dyes her hair blue, as she's been gray as a mule since seventeen.
134	With a few exceptions, Marge spends most of her time tending to housework, minding Maggie, being supportive of Lisa, and either disciplining Bart or defending him from Homer's rage.
135	She was named after Margaret Marge Groening, mother of Matt Groening, creator of The Simpsons.
136	Her father, a former flight attendant (air steward), is deceased, although when or how this occurred has not been explained.
137	Her disapproving mother, Jacqueline, lives on but is rarely seen.
138	All members of the Bouvier family (except, of course, Marge) smoke heavily and have gruff voices and sarcastic, snarky demeanours.
139	None of the other Bouvier family members approves of Marge's marriage to Homer.
140	His behaviour is often oafish, clumsy, and insensitive, but he still remains lovable.
141	Over the years he has become one of the notable dads in television and the possible template for most bumbling albeit well-meaning fathers.
142	He spends a great deal of his time at Moe's Tavern with his lifelong friends Barney, Carl, Lenny, and bartender Moe.
143	He has rage issues and has been physically and violently abusive, often towards his son, whom he has strangled and even struck on numerous occasions.
144	Four months later, he was killed by a German sniper in World War II.
145	He was also the father of 3 children, including actress Drew Barrymore.
146	His parents divorced when John was around 6 years old in 1935, but he claimed (most likely fallaciously) to have met his father only once.
147	John ran away at age 17 and signed a film contract, but he repeatedly abandoned leading roles and had no major film career.
148	He was cremated, and the ashes were interred in the Eden Memorial Park Cemetery in Mission Hills, Los Angeles, California.
149	Aged 86 at death, Groucho was the longest-lived of all the Marx brothers, though younger brother Zeppo survived him by two years.
150	Groucho did a German accent.
151	He was the best-known of modern Brazilian writers, with his work translated into some 30 languages and popularized in film, notably Dona Flor and her Two Husbands in 1978.
152	In this year, he released his first book, O País do Carnaval.
153	Marvin Pierce Bush (born October 22, 1956) is the youngest son of George H. W. Bush and Barbara Pierce, and brother of George W., John (Jeb), Neil and Dorothy.
154	He is named for his maternal grandfather.
155	He became a banker in Boston and was active in the local Democratic Party.
156	HCC is a publicly traded insurance company on the New York Stock Exchange.
157	During his seventh-grade school year, Coltrane experienced three deaths in his close-knit family; he lost his aunt, his grandfather, and his father.
158	Coltrane began playing music and practicing obsessively at about this time.
159	Though he was active before 1955, his prime years were between 1955 and 1967, during which time he reshaped modern jazz and influenced generations of other musicians.
160	He passed away from liver disease in his home in Dix Hills, New York.
161	Jon is known in the NBA because of the courage and determination he shows on defense and in the clutch time.
162	He is a sharp shooter from the three point range and also a very accurate free throw shooter.
163	His nickname is Johnny B. Goode.
164	Shortly afterwards he retired from the Army as a brevet major.
165	In 1874, at the age of 23, Gifford was a Lieutenant in the 2nd Battalion, 24th Foot (later the South Wales Borderers), British Army during the First Ashanti Expedition, when the following deed took place for which he was awarded the Victoria Cross:
166	James Arlington Wright (December 3, 1927 - March 25, 1980), was an American poet and writer.
167	He graduated and practiced law in a small firm which folded, then moved on to the firm of Rosenman, Colin, Kaye, Petschek and Freund, which had CBS Records as a client.
168	In the 1970s, Arista also had an extensive jazz line, most notably its Freedom imprint, concentrating on contemporary, sometimes avant-garde, musicians and widely praised reissues from the legendary Savoy label.
169	She was seen as a useful conduit for contracting an alliance between Portugal and England, after the treaty of the Pyrenees in 1659 where Portugal was arguably abandoned by France.
170	Following the restoration of Portuguese independence from Spain, and her father's accession to the throne on December 1, 1640, Catherine was engaged to Charles II.
171	Charles II married on May 3 or May 21, 1662, in Portsmouth, and her dowry brought Tangier and Bombay to British control.
172	She was not a particularly popular choice of queen, being a Roman Catholic, and her religion prevented her ever being crowned, since she could not take part in an Anglican service.
173	Despite Charles's reputation as a womaniser, Catherine never gave birth to a live heir, though she had several pregnancies, the last being in 1669.
174	Her position was a difficult one, as Charles continued to have children by his mistresses, but he insisted that she be treated with respect, and refused to divorce her.
175	Following his death, Catherine remained in England through the reign of James II of England and returned to Portugal during the joint reign of William III and Mary II.
176	She died in Lisbon in 1705.
177	Laurance married Mary French in 1934.
178	Erasmus Darwin (December 12, 1731 – April 18, 1802) trained as a physician and wrote extensively on medicine and botany, as well as poetry.
179	Catherine introduced, and made fashionable, the custom of drinking tea in England.
180	She was very popular and loved by the people, and the Queens borough of New York City was named after her.
181	They had four children: Frederick Dent Grant, Ulysses S. (Buck) Grant, Jr., Ellen (Nellie) Grant, and Jesse Root Grant.
182	Hamer erroneously nominated him as Ulysses Simpson Grant, and although Grant protested the change, it was difficult to resist the bureaucracy.
183	Upon graduation, Grant adopted the form of his new name with middle initial only, never acknowledging that the 'S' stood for Simpson.
184	He graduated from West Point in 1843, ranking 21st in a class of 39.
185	At the academy, he established a reputation as a fearless and expert horseman.
186	Grant drank distilled liquor and, during the American Civil War, began smoking huge numbers of cigars (one story had it that he smoked over 10,000 in five years) which may well have contributed to his throat cancer of later life.
187	His father, a tanner, and his mother were born in Pennsylvania.
188	Kennedy was a member of the prominent Kennedy political family.
189	Considered the icon of American liberalism, Kennedy is the youngest person ever to be elected president of the country, at the age of 43.
190	During this period, he published Profiles in Courage, highlighting eight instances in which U.S. Senators risked their careers by standing by their personal beliefs.
191	He was honorably discharged in early 1945, just a few months before the Japanese surrendered.
192	He was reelected twice, but had a mixed voting record, often diverging from President Harry S. Truman and the rest of the Democratic Party.
193	However, the U.S. Navy accepted him in September of that year.
194	By the 1964 election, Reagan was an outspoken supporter of conservative Republican Barry Goldwater.
195	"Though these requests were initially laughed off by Reagan, he says in his autobiography, he eventually gave in, after countless sleepless nights."""""
196	His paternal great-grandfather, Michael Reagan, immigrated to the United States from Ballyporeen, County Tipperary, Ireland in the 1860s.
197	Prior to his immigration, the family name was spelled Regan.
198	His maternal great-grandfather, John Wilson, immigrated to the United States from Paisley, Scotland in the early 1800s.
199	His presidency was marked by new economic policies, dubbed Reaganomics and a confrontational foreign policy towards the Soviet Union and Socialist movements around the world.
200	Reagan tried repeatedly to go overseas for combat duty, but was turned down because of his astigmatism.
201	Reagan was reelected in a landslide in the 1984 presidential election, defeating Carter's Vice President Walter Mondale by winning 49 of 50 states and receiving nearly 60 percent of the popular vote.
202	Reagan developed an early gift for storytelling and acting.
203	He was a radio announcer as an affiliate of the Chicago Cubs baseball games, getting only the bare outlines of the game from a ticker and relying on his imagination and storytelling gifts to flesh out the game.
204	Once in 1934, during the ninth inning of a Cubs-St. Louis Cardinals game, the wire went dead.
205	Reagan smoothly improvised a fictional play-by-play (in which hitters on both teams fouled off pitches) until the wire was restored.
206	When left-wing SLA terrorists kidnapped Patty Hearst in Berkeley and gave a list of demands that included free distribution of food to the poor, Reagan suggested that it would be a good time for an outbreak of botulism.
207	Hodgkin and Huxley shared the prize that year with John Carew Eccles, who was cited for research on synapses.
208	Hodgkin and Huxley's findings led the pair to hypothesize ion channels, which were confirmed only decades later.
209	He was named a first team All-American in his junior and senior seasons.
210	In 1986, Schwarzenegger married TV journalist Maria Shriver, niece of the late President of the United States John F. Kennedy.
211	Klaas finished his career at Washington having played in 69 games, scoring ten goals and 21 assists.
212	He was drafted by the San Jose Earthquakes in the third round of the 2005 MLS SuperDraft, but opted to not show up for camp, instead signing with the nearby Sounders.
213	While enjoying popular but little critical success during his own lifetime, Kerouac is now considered one of America's most important authors.
214	Kerouac's spontaneous, confessional language style inspired other writers, including Tom Robbins, Richard Brautigan, Hunter S. Thompson, Ken Kesey, and Bob Dylan.
215	He started writing his first novel, called The Town and the City.
216	It was published in 1950 and earned him some respect as a writer.
217	His parents, Leo-Alcide Kerouac and Gabrielle-Ange Lévesque, were natives of the province of Quebec in Canada.
218	Like many other Quebecers of their generation, the Lévesques and Kerouacs were part of the Quebec emigration to New England to find employment.
219	Jack didn't start to learn English until the age of six.
220	At home, he and his family spoke Quebec French.
221	That year, he also married Rose Fitzgerald, the daughter of John F. Fitzgerald, the Democrat mayor of Boston and probably the most recognized politician in the city.
222	At an early age, he was profoundly marked by the death of his elder brother Gérard, later prompting him to write the book Visions of Gerard.
223	He also played for the New Haven Eagles and Bronx Tigers of the Canadian-American Hockey League.
224	Besides his film roles, he appeared on the television screen often later is his career.
225	For his contribution to the television industry, J. Carrol Naish has a star on the Hollywood Walk of Fame at 6145 Hollywood Blvd.
226	While Franklin was finding himself in London, Deborah married a man named John Rodgers.
227	This proved to be an regrettable decision.
228	With Rodgers' fate unknown, and bigamy an offense punishable by public whipping and imprisonment, Deborah was not free to remarry.
229	When he first arrived he worked in several printer shops around town.
230	However, he was not satisfied by the immediate prospects.
231	His wife is Barbara Bush.
232	Two weeks later she married Michael Jackson on May 18, 1994.
233	She was First Lady of the United States from 1993 to 2001, as the wife of President Bill Clinton.
234	Following this he returned to Philadelphia in 1726 with the help of a merchant named Thomas Denham, who gave Franklin a position as clerk, shopkeeper and bookkeeper in Denham's merchant business.
235	The cgs unit of electric charge has been named after him: one franklin (Fr) is equal to one statcoulomb.
236	His mother, Abiah Folger, was born in Nantucket, Massachusetts on August 15, 1667, to Peter Folger, a miller and schoolteacher, and his wife Mary Morrill a former indentured servant.
237	Sometime during the second half of 1683, the Franklins left England for Boston, Massachusetts; and while in Boston, they had several more children, including: Josiah Jr. (August 23, 1685), Ann (January 5, 1687), Joseph (February 5, 1688), and Joseph (June 30, 1689) (the first Joseph having died soon after birth).
238	While the identity of William's mother remains unknown, perhaps the responsibility of an infant child gave Franklin a reason to take up residence with Deborah Read.
239	His father, Josiah Franklin, was a tallow chandler, a maker of candles, who married twice.
240	His schooling ended at ten and at 12 he became an apprentice to his brother James, a printer who published the New England Courant.
241	While a printing apprentice he wrote under the pseudonym of 'Silence Dogood' who was ostensibly a middle-aged widow.
242	His brother and the Courant's readers did not initially know the real author.
243	His brother was not impressed when he discovered his popular correspondent was his younger brother.
244	He left his apprenticeship without permission and in so doing became a fugitive.
245	He entered the U.S. Army as a private in 1941, was commissioned, and served in the Pacific theater.
246	At the end of the war he was a captain on General Douglas MacArthur's intelligence staff.
247	Early in life, he developed an interest in politics and history, and, during the war years, a special admiration for Winston Churchill, whom he would later cite as an important influence.
248	After he left the Pentagon, he became publisher and chairman of Forbes magazine, where over the next decade he wrote frequently on defense and national security issues.
249	In 1990, he wrote Fighting for Peace, an account of his Pentagon years; in 1996, Weinberger co-authored a book entitled The Next War, which raised questions about the adequacy of U.S. military capabilities following the end of the Cold War.
250	After he published his book, his colleages from the Reagan administration broke contact and refused to speak with him.
251	She died in Poughkeepsie, New York of heart failure, which was chiefly due to her diabetes.
252	Mildred was the sister of Al Rinker, who also sang with Paul Whiteman.
253	He is the leader of the Adalet ve Kalkinma Partisi (AK Party, or Justice and Development Party).
254	Erdoğan played semi-professional football for 16 years and worked for Istanbul's municipal transport company, and became active in politics with the now-defunct Islamist National Salvation Party (Milli Selâmet Partisi), led by Necmettin Erbakan.
255	Soon after he was born, he moved to New York with his father, where he began acting and playing music.
256	He soon recorded Desireless, and it became a hit across Scandinavia and the rest of Europe, and an American release came in 1998.
257	In 1912, his interests developed into using his mathematical skills assisting Henry Moseley on X-ray diffraction.
258	He is currently the 46th Vice President of the United States under President George W. Bush.
259	Under President Gerald Ford, Cheney became Assistant to the President and the youngest White House Chief of Staff in history.
260	He was campaign manager for Ford's 1976 presidential campaign, while James Baker served as campaign chairman.
261	However, a police arrest card similar to the one that haunted President George W. Bush and maintained by the Rock Springs Police Department shows that Cheney was fined $100 for his second DWI conviction.
262	At the time, it was not possible for the authorities in each area to link the two convictions which would have resulted in the second offence being viewed much more seriously.
263	Since his second Wyoming arrest, Cheney has had no further convictions.
264	One of his first known ancestors was Ralph de Chesney, Sire of Quesnay who fought on the side of William the Conqueror in the Battle of Hastings in 1066.
265	Cheney was elected to represent Wyoming in the U.S. House of Representatives to replace Teno Roncalio, who had resigned from Congress.
266	George W. Bush in March or April, 2005, to be General Counsel of the Department of Homeland Security.
267	The Perrys have four children.
268	When he went to the nearby Shrewsbury School the next year, he lived there as a 'boarder'.
269	He served in the United States Army in World War II, then got a law degree from Tulane University.
270	She currently works for the State Department's Near East Affairs Bureau.
271	Mary is one of her father's top campaign aides and closest confidantes and lives in Denver, Colorado.
272	He decided after three semesters to take some time off from Yale, on account of difficulty with his studies.
273	She has authored or co-authored eight books and numerous articles.
274	She served from 1986 to 1996 as Chair of the National Endowment for the Humanities, appointed by Ronald Reagan.
275	She was at one time a co-host on CNN's Crossfire.
276	After studying at the Louisiana State University he joined the Monroe Police Department.
277	She is now a public speaker and author, and a senior fellow at the American Enterprise Institute.
278	He received his bachelor's degree in 1965 and master's degree in political science in 1966 both from the University of Wyoming.
279	Cheney's former chief of staff, Lewis Libby, is one of the main figures under investigation.
280	On October 28, Libby was indicted on five felony counts.
281	He was United States Secretary of Defense from 1987 until 1989.
282	He was undersecretary of Health, Education and Welfare when Weinberger was secretary during the Nixon administration.
283	Carlucci was deputy defense secretary from 1981 until 1986, national security advisor from 1986 until 1987, and defense secretary in 1987, following the resignation of Weinberger, his nomination by President Ronald Reagan and his confirmation in the Senate by a vote of 91 to 1.
284	He was reportedly less hard-line in policies toward the Soviet Union than Weinberger.
285	He was a naval officer from 1952-54.
286	During his time, he also befriended another actor named Grant Heslov, a close friend and frequent collaborator with Clooney who co-wrote Good Night, and Good Luck., and is the president of Clooney and director Steven Soderbergh's production company Section 8 Entertainment.
287	After the show was cancelled, he played a handyman on the series The Facts of Life.
288	He made his debut as a film director in the 2002 feature Confessions of a Dangerous Mind, an adaptation of the implausible autobiography of groundbreaking TV producer Chuck Barris.
289	Lawford later admitted the most terrifying experience of his career was the first musical number he performed.
290	Lawford also made his first comedy that same year My Brother Talks To Horses (1947).
291	It was in Good News (1947) that Lawford won his greatest acclaim as an actor.
292	He also got to dance and sing as well and held his own against the other cast.
293	He was the victim of sexual abuse several times in childhood.
294	Also as a child he severely injured his arm when he put the arm through a door's glass pane.
295	Doctors were able to save the arm, but the injury bothered him for many years.
296	The arm injury kept him from being drafted into the armed forces for the Second World War.
297	Lawford's first major movie role was A Yank At Eton (1942).
298	He played a snobby bully opposite Mickey Rooney.
299	The picture was a smash hit and Lawford's performance was widely praised.
300	Page recorded several live comedy albums for the Laff Records label in the late 1960's and early 1970's; One release, Watch It Sucker!, was titled after Aunt Esther's catchphrase to cash in on her newfound TV fame.
301	Frank J. Howard (March 25, 1909 - January 26, 1996) was an American college football player and coach.
302	He played college football for Alabama and was a teammate of legendary coach Bear Bryant.
303	After a career-ending injury, Howard joined the staff at Clemson College and became head coach in 1939.
304	He was inducted into the College Football Hall of Fame, the South Carolina Sports Hall of Fame, and the Clemson Ring of Honor.
305	"Howard was born at Barlow Bend, Alabama (""three wagon greasin's from Mobile"")."
306	John Fitzgerald Kennedy (May 29, 1917 - November 22, 1963), often referred to as Jack Kennedy or JFK, was the 35th President of the United States.
307	John Fitzgerald Kennedy (May 29, 1917 - November 22, 1963), also known as JFK, was the 35th president of the United States of America.
308	He was the youngest president ever elected and the only Roman Catholic president.
309	Kennedy is also the only Roman Catholic ever to become President, the first president to serve who was born in the 20th century, the last to die while still in office, the last Democrat from the North to be elected, and the last to be elected while serving in the U.S. Senate.
310	Another example of Kennedy's belief in the ability of nonmilitary power to improve the world was the creation of the Peace Corps, one of his first acts as president.
311	Kennedy married his second wife Jacqueline Bouvier on September 12, 1953.
312	During this period, he published Profiles in Courage, highlighting eight instances in which U.S. Senators risked their careers by standing by their personal beliefs.
313	The book was awarded the 1957 Pulitzer Prize for Biography.
314	Kennedy's other decorations of the Second World War include the Purple Heart, Asiatic-Pacific Campaign Medal, and the World War II Victory Medal.
315	In 1958, Kennedy published the first edition of his book A Nation of Immigrants, closely following his involvement in the Displaced Persons Act and the 1957 bill to bring families together.
316	After World War II, Kennedy entered politics (partly to fill the void of his popular brother, Joseph P. Kennedy, Jr., on whom his family had pinned many of their hopes but who was killed in the war).
317	In 1946, Representative James Michael Curley vacated his seat in an overwhelmingly Democratic district to become mayor of Boston and Kennedy ran for that seat, beating his Republican opponent by a large margin.
318	He was reelected twice, but had a mixed voting record, often diverging from President Harry S. Truman and the rest of the Democratic Party.
